cell_id,Amaurospiza concolor,Amaurospiza concolor relicta,Amaurospiza concolor concolor
83452cfffffffff,10.0,0.0,0.0
83452dfffffffff,3.0,0.0,1.0
83452efffffffff,96.0,0.0,0.0
834980fffffffff,1.0,1.0,0.0
834986fffffffff,4.0,0.0,0.0
834994fffffffff,2.0,2.0,0.0
8349a8fffffffff,4.0,1.0,0.0
8349aefffffffff,1.0,1.0,0.0
8349b3fffffffff,4.0,4.0,0.0
8366a0fffffffff,3.0,0.0,0.0
8366b4fffffffff,15.0,0.0,1.0
8366b5fffffffff,16.0,0.0,0.0
836796fffffffff,2.0,0.0,0.0
836d23fffffffff,5.0,0.0,2.0
836d28fffffffff,3.0,0.0,0.0
836d29fffffffff,18.0,0.0,0.0
836d2afffffffff,4.0,0.0,0.0
836d2bfffffffff,31.0,0.0,0.0
836d2cfffffffff,11.0,0.0,0.0
836d2dfffffffff,21.0,0.0,0.0
836d32fffffffff,4.0,4.0,0.0
836d33fffffffff,3.0,0.0,0.0
836d61fffffffff,7.0,0.0,0.0
836d68fffffffff,2.0,0.0,0.0
836d69fffffffff,126.0,0.0,5.0
836d6bfffffffff,17.0,0.0,0.0
836d74fffffffff,4.0,0.0,0.0
