cell_id,Aulacorhynchus prasinus,Aulacorhynchus prasinus wagleri,Aulacorhynchus prasinus [prasinus Group],Aulacorhynchus prasinus caeruleogularis,Aulacorhynchus prasinus cognatus
84452a9ffffffff,7.0,0.0,5.0,0.0,0.0
84452dbffffffff,2.0,0.0,0.0,0.0,0.0
84452e1ffffffff,17.0,0.0,3.0,0.0,0.0
84452e3ffffffff,1.0,0.0,1.0,0.0,0.0
84452e5ffffffff,3.0,0.0,2.0,0.0,0.0
84452ebffffffff,2.0,0.0,2.0,0.0,0.0
8449901ffffffff,4.0,0.0,2.0,0.0,0.0
8449903ffffffff,5.0,0.0,0.0,0.0,0.0
8449913ffffffff,3.0,0.0,0.0,0.0,0.0
8449917ffffffff,2.0,0.0,2.0,0.0,0.0
8449961ffffffff,6.0,0.0,0.0,0.0,0.0
8449963ffffffff,8.0,0.0,6.0,0.0,0.0
8449969ffffffff,3.0,0.0,0.0,0.0,0.0
8449b19ffffffff,6.0,6.0,0.0,0.0,0.0
8449b1dffffffff,1.0,1.0,0.0,0.0,0.0
8449b57ffffffff,2.0,2.0,0.0,0.0,0.0
8466131ffffffff,1.0,0.0,0.0,0.0,0.0
8466139ffffffff,2.0,0.0,0.0,0.0,0.0
8466165ffffffff,1.0,0.0,0.0,0.0,0.0
8466a05ffffffff,6.0,0.0,0.0,4.0,0.0
8466a0bffffffff,3.0,0.0,0.0,0.0,0.0
8466a57ffffffff,6.0,0.0,0.0,1.0,0.0
8466b41ffffffff,18.0,0.0,0.0,12.0,0.0
8466b45ffffffff,65.0,0.0,0.0,65.0,0.0
8466b49ffffffff,1.0,0.0,0.0,1.0,0.0
8466b4dffffffff,3.0,0.0,0.0,2.0,0.0
8467961ffffffff,5.0,0.0,0.0,0.0,0.0
846d05bffffffff,4.0,0.0,4.0,0.0,0.0
846d141ffffffff,2.0,2.0,0.0,0.0,0.0
846d227ffffffff,5.0,0.0,0.0,0.0,0.0
846d231ffffffff,1.0,0.0,0.0,0.0,0.0
846d239ffffffff,1.0,0.0,0.0,0.0,0.0
846d23dffffffff,4.0,0.0,0.0,0.0,0.0
846d257ffffffff,2.0,0.0,0.0,0.0,0.0
846d295ffffffff,1.0,0.0,1.0,0.0,0.0
846d2b9ffffffff,16.0,0.0,14.0,0.0,0.0
846d2d7ffffffff,1.0,0.0,0.0,0.0,0.0
846d30dffffffff,3.0,0.0,0.0,0.0,0.0
846d315ffffffff,9.0,0.0,2.0,0.0,0.0
846d31bffffffff,2.0,0.0,0.0,0.0,0.0
846d337ffffffff,3.0,3.0,0.0,0.0,0.0
846d34bffffffff,2.0,0.0,0.0,0.0,0.0
846d363ffffffff,2.0,0.0,0.0,0.0,0.0
846d655ffffffff,2.0,0.0,0.0,0.0,0.0
846d665ffffffff,4.0,0.0,4.0,0.0,0.0
846d693ffffffff,4.0,0.0,0.0,4.0,0.0
846d695ffffffff,8.0,0.0,0.0,8.0,0.0
846d69bffffffff,26.0,0.0,7.0,18.0,0.0
846d69dffffffff,238.0,0.0,5.0,226.0,0.0
