cell_id,Leptopogon superciliaris,Leptopogon superciliaris transandinus,Leptopogon superciliaris superciliaris,Leptopogon superciliaris albidiventer
825f4ffffffffff,104.0,0.0,0.0,0.0
825f5ffffffffff,204.0,0.0,0.0,0.0
826607fffffffff,72.0,0.0,0.0,0.0
82660ffffffffff,631.0,0.0,1.0,0.0
826617fffffffff,24.0,0.0,0.0,0.0
82661ffffffffff,3750.0,0.0,58.0,0.0
826627fffffffff,116.0,0.0,0.0,0.0
82662ffffffffff,200.0,0.0,4.0,0.0
826657fffffffff,25.0,0.0,0.0,0.0
826677fffffffff,2.0,0.0,0.0,0.0
8266a7fffffffff,119.0,0.0,0.0,0.0
8266b7fffffffff,3180.0,0.0,0.0,0.0
8266c7fffffffff,1049.0,0.0,2.0,0.0
8266d7fffffffff,4207.0,366.0,0.0,0.0
8266dffffffffff,1488.0,0.0,159.0,0.0
8266e7fffffffff,4115.0,0.0,61.0,0.0
8266effffffffff,6.0,0.0,0.0,0.0
8266f7fffffffff,1755.0,11.0,3.0,0.0
826747fffffffff,332.0,0.0,13.0,0.0
82674ffffffffff,902.0,0.0,12.0,0.0
826757fffffffff,147.0,0.0,0.0,0.0
82675ffffffffff,193.0,0.0,1.0,0.0
82679ffffffffff,117.0,0.0,0.0,0.0
826d6ffffffffff,2324.0,0.0,0.0,0.0
828b27fffffffff,90.0,0.0,0.0,0.0
828b2ffffffffff,87.0,0.0,0.0,0.0
828b67fffffffff,879.0,0.0,0.0,12.0
828b6ffffffffff,86.0,0.0,0.0,0.0
828b77fffffffff,40.0,0.0,0.0,0.0
828e67fffffffff,123.0,0.0,0.0,0.0
828e6ffffffffff,3.0,0.0,0.0,0.0
828f0ffffffffff,516.0,50.0,0.0,0.0
828f2ffffffffff,394.0,12.0,0.0,0.0
828f47fffffffff,626.0,0.0,54.0,0.0
828f4ffffffffff,125.0,0.0,0.0,0.0
828f57fffffffff,17.0,0.0,0.0,0.0
828f5ffffffffff,44.0,0.0,0.0,0.0
828f77fffffffff,1115.0,0.0,129.0,0.0
82b327fffffffff,59.0,0.0,0.0,0.0
82b367fffffffff,3.0,0.0,0.0,0.0
