cell_id,Pachyramphus viridis,Pachyramphus viridis xanthogenys/peruanus,Pachyramphus viridis griseigularis,Pachyramphus viridis viridis
825f07fffffffff,17.0,0.0,0.0,0.0
825f17fffffffff,5.0,0.0,2.0,0.0
82815ffffffffff,2.0,0.0,0.0,2.0
82818ffffffffff,1.0,0.0,0.0,1.0
828b0ffffffffff,3.0,0.0,0.0,3.0
828b47fffffffff,3.0,0.0,0.0,0.0
828b6ffffffffff,3.0,1.0,0.0,0.0
828f47fffffffff,1.0,1.0,0.0,0.0
828f4ffffffffff,11.0,0.0,0.0,0.0
828f57fffffffff,6.0,0.0,0.0,0.0
828f77fffffffff,2.0,2.0,0.0,0.0
82a817fffffffff,2.0,0.0,0.0,2.0
82a957fffffffff,6.0,0.0,0.0,4.0
82a967fffffffff,36.0,0.0,0.0,0.0
82a96ffffffffff,20.0,0.0,0.0,0.0
82b24ffffffffff,2.0,0.0,0.0,0.0
82b26ffffffffff,11.0,0.0,0.0,0.0
82c2c7fffffffff,2.0,0.0,0.0,0.0
82c2cffffffffff,10.0,0.0,0.0,0.0
82c2d7fffffffff,1.0,0.0,0.0,0.0
82c2e7fffffffff,5.0,0.0,0.0,0.0
82c2effffffffff,3.0,0.0,0.0,1.0
