cell_id,Oceanites oceanicus,Oceanites oceanicus oceanicus/exasperatus,Oceanites oceanicus chilensis
83074efffffffff,1.0,0.0,0.0
830e49fffffffff,63.0,0.0,0.0
831801fffffffff,4.0,0.0,0.0
831805fffffffff,61.0,0.0,0.0
83180cfffffffff,7.0,0.0,0.0
831842fffffffff,10.0,0.0,0.0
831845fffffffff,2.0,0.0,0.0
831846fffffffff,8.0,0.0,0.0
831849fffffffff,15.0,0.0,0.0
83184afffffffff,4.0,0.0,0.0
83184bfffffffff,24.0,0.0,0.0
83184efffffffff,7.0,0.0,0.0
831855fffffffff,23.0,0.0,0.0
831859fffffffff,1.0,0.0,0.0
83185bfffffffff,7.0,0.0,0.0
83186afffffffff,1.0,0.0,0.0
831870fffffffff,14.0,2.0,0.0
831872fffffffff,10.0,0.0,0.0
831876fffffffff,9.0,0.0,0.0
831aa0fffffffff,5.0,0.0,0.0
831aa3fffffffff,2.0,0.0,0.0
831ab0fffffffff,9.0,0.0,0.0
831ab1fffffffff,1.0,0.0,0.0
831ab6fffffffff,3.0,0.0,0.0
831b82fffffffff,9.0,0.0,0.0
831b83fffffffff,5.0,0.0,0.0
831b9afffffffff,3.0,0.0,0.0
831b9cfffffffff,1.0,0.0,0.0
832803fffffffff,2.0,0.0,0.0
832804fffffffff,2.0,0.0,0.0
832806fffffffff,7.0,0.0,0.0
832831fffffffff,11.0,0.0,0.0
832834fffffffff,371.0,8.0,0.0
832835fffffffff,820.0,35.0,0.0
8328c0fffffffff,1.0,0.0,0.0
8328c6fffffffff,18.0,0.0,0.0
8328e6fffffffff,19.0,0.0,0.0
832910fffffffff,24.0,0.0,0.0
832912fffffffff,4.0,0.0,0.0
832913fffffffff,22.0,0.0,0.0
832916fffffffff,24.0,0.0,0.0
83291afffffffff,3.0,0.0,0.0
83291efffffffff,5.0,0.0,0.0
8329a4fffffffff,61.0,6.0,0.0
8329a5fffffffff,5.0,0.0,0.0
8329adfffffffff,14.0,0.0,0.0
832a00fffffffff,10.0,0.0,0.0
832a02fffffffff,22.0,0.0,0.0
832a04fffffffff,6.0,0.0,0.0
832a05fffffffff,11.0,0.0,0.0
832a06fffffffff,92.0,0.0,0.0
832a10fffffffff,87.0,0.0,0.0
832a11fffffffff,225.0,0.0,0.0
832a13fffffffff,37.0,0.0,0.0
832a15fffffffff,82.0,0.0,0.0
832a18fffffffff,939.0,0.0,0.0
832a19fffffffff,6.0,0.0,0.0
832a1afffffffff,352.0,6.0,0.0
832a1bfffffffff,24.0,0.0,0.0
832a1cfffffffff,310.0,0.0,0.0
832a1efffffffff,140.0,0.0,0.0
832a23fffffffff,2.0,0.0,0.0
832a24fffffffff,5.0,0.0,0.0
832a25fffffffff,10.0,0.0,0.0
832a26fffffffff,4.0,0.0,0.0
832a30fffffffff,143.0,0.0,0.0
832a31fffffffff,155.0,0.0,0.0
832a33fffffffff,32.0,0.0,0.0
832a34fffffffff,37.0,0.0,0.0
832a35fffffffff,6.0,0.0,0.0
832a4cfffffffff,2.0,0.0,0.0
832aa4fffffffff,4.0,0.0,0.0
832aa8fffffffff,5.0,0.0,0.0
832aa9fffffffff,54.0,0.0,0.0
832aadfffffffff,266.0,2.0,0.0
832ac2fffffffff,2.0,0.0,0.0
832ac6fffffffff,947.0,0.0,0.0
832acefffffffff,2.0,0.0,0.0
832ad1fffffffff,2.0,0.0,0.0
832ad3fffffffff,9.0,0.0,0.0
832ad5fffffffff,10.0,1.0,0.0
832ad6fffffffff,6.0,0.0,0.0
832ad8fffffffff,2.0,0.0,0.0
832adcfffffffff,2.0,0.0,0.0
832adefffffffff,2.0,0.0,0.0
832af0fffffffff,94.0,0.0,0.0
832af1fffffffff,17.0,0.0,0.0
832af3fffffffff,14.0,0.0,0.0
832af4fffffffff,560.0,0.0,0.0
832af5fffffffff,89.0,0.0,0.0
832af6fffffffff,25.0,0.0,0.0
832b00fffffffff,3.0,0.0,0.0
832b03fffffffff,5.0,0.0,0.0
832b04fffffffff,1.0,0.0,0.0
832b06fffffffff,1.0,0.0,0.0
832b0afffffffff,8.0,0.0,0.0
832b0cfffffffff,7.0,0.0,0.0
832b12fffffffff,8.0,0.0,0.0
832b16fffffffff,3.0,0.0,0.0
832b18fffffffff,177.0,0.0,0.0
832b19fffffffff,8.0,0.0,0.0
832b1afffffffff,3.0,0.0,0.0
832b1bfffffffff,48.0,0.0,0.0
832b1dfffffffff,50.0,0.0,0.0
832b20fffffffff,1.0,0.0,0.0
832b23fffffffff,11.0,0.0,0.0
832b25fffffffff,11.0,0.0,0.0
832b28fffffffff,1.0,0.0,0.0
832b2afffffffff,1.0,0.0,0.0
832b2efffffffff,2.0,0.0,0.0
832b30fffffffff,7.0,0.0,0.0
832b31fffffffff,11.0,0.0,0.0
832b36fffffffff,2.0,0.0,0.0
832b9bfffffffff,6.0,0.0,0.0
832bacfffffffff,12.0,0.0,0.0
83309afffffffff,3.0,0.0,0.0
833460fffffffff,4.0,0.0,0.0
833464fffffffff,5.0,1.0,0.0
833466fffffffff,3.0,2.0,0.0
83346dfffffffff,21.0,0.0,0.0
833910fffffffff,9.0,0.0,0.0
833911fffffffff,58.0,0.0,0.0
833913fffffffff,2.0,0.0,0.0
833914fffffffff,12.0,0.0,0.0
83391afffffffff,31.0,0.0,0.0
83391efffffffff,121.0,0.0,0.0
833920fffffffff,12.0,0.0,0.0
833922fffffffff,9.0,0.0,0.0
833924fffffffff,105.0,0.0,0.0
