cell_id,Curruca mystacea,Curruca mystacea mystacea,Curruca mystacea rubescens/turcmenica
8320b3fffffffff,1.0,0.0,0.0
8320e3fffffffff,2.0,0.0,0.0
832180fffffffff,1.0,0.0,0.0
832184fffffffff,2.0,0.0,0.0
832186fffffffff,1.0,0.0,0.0
832198fffffffff,15.0,0.0,0.0
832c00fffffffff,82.0,0.0,0.0
832c01fffffffff,11.0,0.0,0.0
832c03fffffffff,2.0,0.0,0.0
832c04fffffffff,376.0,0.0,0.0
832c05fffffffff,3.0,0.0,0.0
832c06fffffffff,1.0,0.0,0.0
832c08fffffffff,1.0,0.0,0.0
832c09fffffffff,3.0,0.0,0.0
832c0afffffffff,1.0,0.0,0.0
832c0bfffffffff,29.0,0.0,0.0
832c0cfffffffff,46.0,0.0,0.0
832c10fffffffff,9.0,0.0,0.0
832c12fffffffff,15.0,0.0,0.0
832c13fffffffff,3.0,0.0,0.0
832c14fffffffff,4.0,0.0,0.0
832c15fffffffff,3.0,0.0,0.0
832c19fffffffff,6.0,0.0,0.0
832c1afffffffff,3.0,0.0,0.0
832c1bfffffffff,2.0,0.0,0.0
832c1dfffffffff,15.0,0.0,0.0
832c1efffffffff,17.0,0.0,0.0
832c20fffffffff,2.0,0.0,0.0
832c2afffffffff,15.0,0.0,0.0
832c2bfffffffff,2.0,0.0,0.0
832c2efffffffff,1.0,0.0,0.0
832c30fffffffff,10.0,0.0,0.0
832c32fffffffff,4.0,0.0,0.0
832c33fffffffff,2.0,0.0,0.0
832c36fffffffff,3.0,0.0,0.0
832c56fffffffff,1.0,0.0,0.0
832c66fffffffff,1.0,0.0,0.0
832c72fffffffff,6.0,0.0,0.0
832c83fffffffff,7.0,0.0,0.0
832c90fffffffff,73.0,0.0,0.0
832c91fffffffff,32.0,0.0,0.0
832c93fffffffff,175.0,0.0,0.0
832ca1fffffffff,2.0,0.0,0.0
832cacfffffffff,22.0,0.0,0.0
832cc0fffffffff,15.0,0.0,0.0
832cc1fffffffff,15.0,0.0,0.0
832cc2fffffffff,2.0,0.0,0.0
832cc3fffffffff,7.0,0.0,0.0
832cc6fffffffff,5.0,0.0,0.0
832cc9fffffffff,1.0,0.0,0.0
832ccbfffffffff,4.0,0.0,0.0
832ccefffffffff,2.0,0.0,0.0
832cd4fffffffff,77.0,0.0,0.0
832cd5fffffffff,4.0,0.0,0.0
832cd9fffffffff,3.0,0.0,0.0
832cdcfffffffff,2.0,0.0,0.0
832cddfffffffff,7.0,0.0,0.0
832ce4fffffffff,42.0,0.0,0.0
832ce5fffffffff,3.0,0.0,0.0
832ce6fffffffff,7.0,0.0,0.0
832cf0fffffffff,9.0,0.0,0.0
832cf3fffffffff,65.0,0.0,0.0
832d1afffffffff,5.0,0.0,0.0
832d58fffffffff,1.0,0.0,0.0
832d5cfffffffff,1.0,0.0,0.0
832d84fffffffff,3.0,0.0,0.0
832da1fffffffff,2.0,0.0,0.0
832da8fffffffff,223.0,0.0,0.0
832da9fffffffff,2.0,0.0,0.0
832dabfffffffff,2.0,0.0,0.0
832dacfffffffff,10.0,0.0,0.0
832dadfffffffff,2.0,0.0,0.0
832db3fffffffff,1.0,0.0,0.0
834230fffffffff,2.0,0.0,0.0
834233fffffffff,5.0,0.0,0.0
834313fffffffff,14.0,0.0,0.0
834316fffffffff,4.0,0.0,0.0
834318fffffffff,2.0,0.0,0.0
83431afffffffff,2.0,0.0,0.0
83431efffffffff,27.0,0.0,0.0
834325fffffffff,4.0,0.0,0.0
834326fffffffff,1.0,0.0,0.0
834331fffffffff,2.0,0.0,0.0
834360fffffffff,60.0,0.0,0.0
834361fffffffff,2.0,0.0,0.0
834363fffffffff,2.0,0.0,0.0
834364fffffffff,1.0,0.0,0.0
834365fffffffff,10.0,0.0,0.0
834381fffffffff,26.0,0.0,0.0
834388fffffffff,2.0,0.0,0.0
83438afffffffff,4.0,0.0,0.0
83438cfffffffff,23.0,0.0,0.0
83438efffffffff,2.0,0.0,0.0
834392fffffffff,10.0,0.0,0.0
834393fffffffff,4.0,0.0,0.0
834396fffffffff,10.0,0.0,0.0
834398fffffffff,11.0,0.0,0.0
83439dfffffffff,1.0,0.0,0.0
83439efffffffff,5.0,0.0,0.0
8343a0fffffffff,130.0,0.0,0.0
8343a1fffffffff,92.0,0.0,0.0
8343a2fffffffff,2.0,0.0,0.0
8343a3fffffffff,15.0,0.0,0.0
8343a6fffffffff,10.0,0.0,0.0
8343a8fffffffff,22.0,0.0,0.0
8343aafffffffff,9.0,0.0,0.0
8343acfffffffff,153.0,0.0,0.0
8343adfffffffff,5.0,0.0,0.0
8343aefffffffff,243.0,0.0,0.0
8343b5fffffffff,2.0,0.0,0.0
835211fffffffff,3.0,0.0,0.0
83521cfffffffff,4.0,0.0,0.0
83521efffffffff,2.0,0.0,0.0
83522bfffffffff,2.0,0.0,0.0
835230fffffffff,1.0,0.0,0.0
835234fffffffff,4.0,0.0,0.0
83524dfffffffff,7.0,0.0,0.0
835269fffffffff,16.0,0.0,0.0
835289fffffffff,2.0,0.0,0.0
8352d4fffffffff,9.0,0.0,0.0
835311fffffffff,1.0,0.0,0.0
835312fffffffff,1.0,0.0,0.0
835316fffffffff,1.0,0.0,0.0
83531afffffffff,2.0,0.0,0.0
835332fffffffff,1.0,0.0,0.0
835343fffffffff,2.0,0.0,0.0
83534cfffffffff,2.0,0.0,0.0
83534dfffffffff,81.0,0.0,0.0
835355fffffffff,3.0,0.0,0.0
835360fffffffff,1.0,0.0,0.0
835364fffffffff,50.0,0.0,0.0
835368fffffffff,4.0,0.0,0.0
83536afffffffff,45.0,0.0,0.0
83536efffffffff,4.0,0.0,0.0
835373fffffffff,2.0,0.0,0.0
8353a9fffffffff,1.0,0.0,0.0
8353adfffffffff,2.0,0.0,0.0
836330fffffffff,15.0,0.0,0.0
836332fffffffff,9.0,0.0,0.0
836333fffffffff,2.0,0.0,0.0
836336fffffffff,4.0,0.0,0.0
837ac8fffffffff,2.0,0.0,0.0
837acdfffffffff,2.0,0.0,0.0
837ad9fffffffff,1.0,0.0,0.0
837ae9fffffffff,1.0,0.0,0.0
