cell_id,Upucerthia validirostris,Upucerthia validirostris jelskii/saturata,Upucerthia validirostris validirostris
848b211ffffffff,1.0,1.0,0.0
848b259ffffffff,1.0,0.0,0.0
848b2c1ffffffff,4.0,0.0,0.0
848b2c9ffffffff,33.0,20.0,0.0
848b601ffffffff,9.0,5.0,0.0
848b603ffffffff,3.0,3.0,0.0
848b605ffffffff,2.0,0.0,0.0
848b60bffffffff,6.0,2.0,0.0
848b611ffffffff,21.0,3.0,0.0
848b61bffffffff,3.0,2.0,0.0
848b643ffffffff,2.0,0.0,0.0
848b645ffffffff,2.0,0.0,0.0
848b651ffffffff,1.0,0.0,0.0
848b65dffffffff,2.0,0.0,0.0
848b665ffffffff,6.0,0.0,0.0
848b6cdffffffff,2.0,2.0,0.0
848e601ffffffff,2.0,2.0,0.0
848e603ffffffff,6.0,6.0,0.0
848e605ffffffff,1.0,0.0,0.0
848e607ffffffff,1.0,0.0,0.0
848e609ffffffff,1.0,0.0,0.0
848e60dffffffff,17.0,4.0,0.0
848e617ffffffff,4.0,0.0,0.0
848e61dffffffff,9.0,3.0,0.0
848e629ffffffff,3.0,0.0,0.0
848e645ffffffff,21.0,7.0,0.0
848e647ffffffff,12.0,11.0,0.0
848e655ffffffff,2.0,2.0,0.0
848e657ffffffff,15.0,3.0,0.0
848e661ffffffff,2.0,1.0,0.0
848e663ffffffff,265.0,132.0,0.0
848e667ffffffff,1.0,0.0,0.0
848e669ffffffff,4.0,1.0,0.0
848e66bffffffff,143.0,82.0,0.0
848e687ffffffff,2.0,2.0,0.0
848e693ffffffff,1.0,0.0,0.0
848e69bffffffff,2.0,0.0,0.0
848e6abffffffff,5.0,1.0,0.0
848e6d1ffffffff,4.0,4.0,0.0
848e6d7ffffffff,5.0,0.0,0.0
848e6ddffffffff,4.0,0.0,0.0
848e6e5ffffffff,2.0,2.0,0.0
848e6e9ffffffff,2.0,0.0,0.0
848f581ffffffff,16.0,0.0,0.0
848f583ffffffff,9.0,5.0,0.0
848f589ffffffff,9.0,5.0,0.0
848f58bffffffff,1.0,1.0,0.0
848f58dffffffff,9.0,5.0,0.0
