cell_id,Setophaga palmarum,Setophaga palmarum palmarum,Setophaga palmarum hypochrysea
830d61fffffffff,1.0,0.0,0.0
830d6cfffffffff,9.0,0.0,0.0
830e45fffffffff,2.0,0.0,0.0
830e48fffffffff,2.0,0.0,0.0
830e49fffffffff,69.0,0.0,0.0
830e4afffffffff,30.0,0.0,0.0
830e4bfffffffff,2.0,0.0,0.0
830e4dfffffffff,65.0,0.0,0.0
830e53fffffffff,43.0,0.0,0.0
830e59fffffffff,4.0,0.0,0.0
830e5afffffffff,13.0,0.0,0.0
830e5bfffffffff,26.0,0.0,0.0
830e80fffffffff,141.0,0.0,0.0
830e89fffffffff,19.0,0.0,0.0
830e8dfffffffff,2.0,0.0,0.0
830e91fffffffff,6.0,0.0,0.0
830e94fffffffff,4.0,0.0,0.0
830e96fffffffff,2.0,0.0,0.0
830e9afffffffff,5.0,0.0,0.0
830ec0fffffffff,2.0,0.0,0.0
830ec1fffffffff,24.0,6.0,0.0
830ec2fffffffff,39.0,0.0,0.0
830ec3fffffffff,1.0,0.0,0.0
830ec6fffffffff,1.0,0.0,0.0
830ec8fffffffff,23.0,8.0,0.0
830ec9fffffffff,78.0,24.0,0.0
830ecafffffffff,4.0,0.0,0.0
830ecbfffffffff,10.0,0.0,0.0
830eccfffffffff,286.0,10.0,0.0
830ecdfffffffff,14.0,12.0,0.0
830ed0fffffffff,2.0,0.0,0.0
830ed1fffffffff,11.0,0.0,0.0
830ed4fffffffff,28.0,0.0,0.0
830ed5fffffffff,2.0,0.0,0.0
830ed8fffffffff,2.0,0.0,0.0
830edafffffffff,2.0,0.0,0.0
830edbfffffffff,4.0,0.0,0.0
830edcfffffffff,3.0,0.0,0.0
830eddfffffffff,4.0,0.0,0.0
830ee1fffffffff,4.0,0.0,0.0
830ee8fffffffff,19.0,0.0,0.0
830ee9fffffffff,4.0,0.0,0.0
830eeafffffffff,838.0,5.0,0.0
830eebfffffffff,2.0,0.0,0.0
830eecfffffffff,2.0,0.0,0.0
