cell_id,Celeus torquatus,Celeus torquatus torquatus,Celeus torquatus occidentalis,Celeus torquatus tinnunculus
845f017ffffffff,1.0,1.0,0.0,0.0
845f4a9ffffffff,2.0,0.0,0.0,0.0
8466411ffffffff,2.0,0.0,0.0,0.0
8466415ffffffff,5.0,0.0,0.0,0.0
84665abffffffff,2.0,0.0,0.0,0.0
84665bdffffffff,5.0,0.0,0.0,0.0
8466c5dffffffff,10.0,0.0,0.0,0.0
8466e8dffffffff,1.0,0.0,0.0,0.0
848a809ffffffff,1.0,0.0,1.0,0.0
848b5cdffffffff,2.0,0.0,2.0,0.0
848f401ffffffff,3.0,0.0,0.0,0.0
848f48dffffffff,2.0,0.0,0.0,0.0
848f4c7ffffffff,2.0,0.0,0.0,0.0
84a5969ffffffff,42.0,0.0,0.0,42.0
84a8917ffffffff,98.0,0.0,0.0,43.0
