cell_id,Ptilinopus porphyraceus,Ptilinopus porphyraceus porphyraceus,Ptilinopus porphyraceus fasciatus
839a02fffffffff,127.0,0.0,0.0
839a0dfffffffff,2.0,0.0,0.0
839a14fffffffff,18.0,0.0,0.0
839a15fffffffff,99.0,0.0,18.0
839a16fffffffff,22.0,0.0,0.0
839a2bfffffffff,1.0,0.0,0.0
839a74fffffffff,5.0,0.0,0.0
839b01fffffffff,1.0,0.0,0.0
839b0cfffffffff,2.0,0.0,0.0
839b19fffffffff,8.0,1.0,0.0
839b43fffffffff,1.0,0.0,0.0
839b4efffffffff,6.0,0.0,0.0
839b73fffffffff,2.0,0.0,0.0
839b89fffffffff,1.0,0.0,0.0
839bacfffffffff,6.0,0.0,0.0
839badfffffffff,2.0,0.0,0.0
