cell_id,Hylexetastes uniformis,Hylexetastes uniformis uniformis,Hylexetastes uniformis brigidai
838061fffffffff,6.0,0.0,6.0
838065fffffffff,4.0,0.0,4.0
83814afffffffff,68.0,4.0,54.0
83814efffffffff,32.0,0.0,26.0
838a10fffffffff,21.0,0.0,0.0
838a15fffffffff,2.0,0.0,0.0
838a80fffffffff,4.0,4.0,0.0
838a82fffffffff,4.0,4.0,0.0
838a83fffffffff,3.0,3.0,0.0
838a85fffffffff,1.0,0.0,0.0
838a91fffffffff,2.0,2.0,0.0
838a9cfffffffff,13.0,13.0,0.0
838aa2fffffffff,1.0,0.0,0.0
838aaafffffffff,16.0,0.0,0.0
838aadfffffffff,1.0,0.0,0.0
838b11fffffffff,1.0,0.0,0.0
838b13fffffffff,1.0,0.0,0.0
838b82fffffffff,1.0,1.0,0.0
838b84fffffffff,14.0,14.0,0.0
838b96fffffffff,8.0,0.0,0.0
838b99fffffffff,73.0,44.0,0.0
838b9bfffffffff,1.0,1.0,0.0
838b9dfffffffff,40.0,20.0,0.0
83a8c9fffffffff,3.0,0.0,0.0
