cell_id,Quiscalus lugubris,Quiscalus lugubris [lugubris Group],Quiscalus lugubris fortirostris
834d49fffffffff,1.0,0.0,0.0
835e5cfffffffff,1.0,0.0,0.0
835e62fffffffff,4.0,0.0,0.0
835e70fffffffff,11.0,0.0,0.0
835e71fffffffff,1.0,0.0,0.0
835e72fffffffff,6.0,0.0,0.0
835f5bfffffffff,3.0,0.0,0.0
836608fffffffff,8.0,0.0,0.0
83660bfffffffff,15.0,0.0,0.0
83660cfffffffff,6.0,0.0,0.0
83660dfffffffff,28.0,0.0,0.0
836610fffffffff,17.0,0.0,0.0
836611fffffffff,27.0,0.0,0.0
836613fffffffff,63.0,0.0,0.0
836616fffffffff,60.0,0.0,0.0
836618fffffffff,5.0,0.0,0.0
836619fffffffff,7.0,0.0,0.0
83661afffffffff,2.0,0.0,0.0
83661bfffffffff,36.0,0.0,0.0
83661dfffffffff,4.0,0.0,0.0
83661efffffffff,22.0,0.0,0.0
836621fffffffff,2.0,0.0,0.0
836622fffffffff,11.0,0.0,0.0
836625fffffffff,2.0,0.0,0.0
83662bfffffffff,14.0,0.0,0.0
836631fffffffff,4.0,0.0,0.0
836663fffffffff,3.0,0.0,0.0
8366a0fffffffff,62.0,0.0,0.0
8366a1fffffffff,9.0,0.0,0.0
8366a2fffffffff,1.0,0.0,0.0
8366a3fffffffff,9.0,0.0,0.0
8366a5fffffffff,112.0,0.0,0.0
8366b5fffffffff,2.0,0.0,0.0
8366c2fffffffff,10.0,0.0,0.0
8366d4fffffffff,2.0,0.0,0.0
8366d5fffffffff,1.0,0.0,0.0
8366dcfffffffff,2.0,0.0,0.0
8366e6fffffffff,90.0,0.0,0.0
8366e8fffffffff,1.0,0.0,0.0
8366ecfffffffff,3.0,0.0,0.0
8366eefffffffff,1.0,0.0,0.0
8366f5fffffffff,7.0,0.0,0.0
836741fffffffff,15.0,0.0,0.0
836743fffffffff,1.0,0.0,0.0
836744fffffffff,24.0,0.0,0.0
836755fffffffff,18.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0
836773fffffffff,4.0,0.0,0.0
836783fffffffff,1.0,0.0,0.0
83678bfffffffff,2.0,0.0,0.0
83679bfffffffff,12.0,0.0,0.0
