cell_id,Spinus magellanicus,Spinus magellanicus longirostris,Spinus magellanicus [capitalis Group],Spinus magellanicus [magellanicus Group]
825f2ffffffffff,17.0,0.0,0.0,0.0
825f47fffffffff,2.0,0.0,0.0,0.0
825f77fffffffff,33.0,0.0,0.0,0.0
82661ffffffffff,95.0,0.0,0.0,0.0
8266c7fffffffff,10.0,0.0,0.0,0.0
8266d7fffffffff,3431.0,0.0,0.0,0.0
8266dffffffffff,451.0,0.0,0.0,0.0
8266e7fffffffff,761.0,0.0,0.0,0.0
8266f7fffffffff,29.0,0.0,0.0,0.0
828107fffffffff,22.0,0.0,0.0,0.0
828117fffffffff,1.0,0.0,0.0,0.0
828127fffffffff,52.0,0.0,0.0,0.0
828137fffffffff,2.0,0.0,0.0,0.0
828b27fffffffff,561.0,0.0,0.0,0.0
828b2ffffffffff,417.0,0.0,0.0,0.0
828b47fffffffff,12.0,0.0,0.0,0.0
828b67fffffffff,3405.0,0.0,0.0,0.0
828b6ffffffffff,402.0,0.0,0.0,0.0
828b77fffffffff,15.0,0.0,0.0,0.0
828e47fffffffff,48.0,0.0,0.0,0.0
828e67fffffffff,1688.0,0.0,0.0,0.0
828e6ffffffffff,548.0,0.0,0.0,0.0
828e77fffffffff,37.0,0.0,0.0,0.0
828f0ffffffffff,103.0,0.0,0.0,0.0
828f2ffffffffff,481.0,0.0,0.0,0.0
828f47fffffffff,48.0,0.0,0.0,0.0
828f4ffffffffff,14.0,0.0,0.0,0.0
828f57fffffffff,1371.0,0.0,0.0,0.0
828f5ffffffffff,528.0,0.0,0.0,0.0
828f77fffffffff,420.0,0.0,0.0,0.0
82a807fffffffff,436.0,0.0,0.0,0.0
82a817fffffffff,1999.0,0.0,0.0,0.0
82a81ffffffffff,638.0,0.0,0.0,0.0
82a827fffffffff,332.0,0.0,0.0,0.0
82a82ffffffffff,32.0,0.0,0.0,0.0
82a837fffffffff,358.0,0.0,0.0,0.0
82a847fffffffff,4.0,0.0,0.0,0.0
82a85ffffffffff,6.0,0.0,0.0,0.0
82a867fffffffff,20.0,0.0,0.0,0.0
82a86ffffffffff,9.0,0.0,0.0,0.0
82a877fffffffff,2.0,0.0,0.0,0.0
82a887fffffffff,225.0,0.0,0.0,0.0
82a88ffffffffff,55.0,0.0,0.0,0.0
82a897fffffffff,3.0,0.0,0.0,0.0
82a8a7fffffffff,573.0,0.0,0.0,0.0
82a8affffffffff,729.0,0.0,0.0,0.0
82a8c7fffffffff,6.0,0.0,0.0,0.0
82a8d7fffffffff,8.0,0.0,0.0,0.0
82a8dffffffffff,26.0,0.0,0.0,0.0
82a8f7fffffffff,21.0,0.0,0.0,0.0
82a907fffffffff,76.0,0.0,0.0,0.0
82a90ffffffffff,302.0,0.0,0.0,0.0
82a91ffffffffff,371.0,0.0,0.0,0.0
82a927fffffffff,5.0,0.0,0.0,0.0
82a92ffffffffff,569.0,0.0,0.0,0.0
82a947fffffffff,1721.0,0.0,0.0,0.0
82a94ffffffffff,1199.0,0.0,0.0,0.0
82a957fffffffff,429.0,0.0,0.0,0.0
82a95ffffffffff,57.0,0.0,0.0,0.0
82a967fffffffff,458.0,0.0,0.0,0.0
82a96ffffffffff,448.0,0.0,0.0,0.0
82a977fffffffff,327.0,0.0,0.0,0.0
82b20ffffffffff,62.0,0.0,0.0,0.0
82b22ffffffffff,21.0,0.0,0.0,0.0
82b247fffffffff,480.0,0.0,0.0,0.0
82b24ffffffffff,325.0,0.0,0.0,0.0
82b257fffffffff,25.0,0.0,0.0,0.0
82b25ffffffffff,1068.0,0.0,0.0,0.0
82b267fffffffff,2.0,0.0,0.0,0.0
82b26ffffffffff,150.0,0.0,0.0,0.0
82b277fffffffff,385.0,0.0,0.0,0.0
82b2cffffffffff,50.0,0.0,0.0,0.0
82b2e7fffffffff,83.0,0.0,0.0,0.0
82b2effffffffff,547.0,0.0,0.0,0.0
82b307fffffffff,1855.0,0.0,0.0,0.0
82b30ffffffffff,4.0,0.0,0.0,0.0
82b327fffffffff,81.0,0.0,0.0,0.0
82b32ffffffffff,75.0,0.0,0.0,0.0
82b337fffffffff,484.0,0.0,0.0,0.0
82b347fffffffff,379.0,0.0,0.0,0.0
82b34ffffffffff,33.0,0.0,0.0,0.0
82b357fffffffff,828.0,0.0,0.0,0.0
82b35ffffffffff,2158.0,0.0,0.0,0.0
82b367fffffffff,82.0,0.0,0.0,0.0
82b36ffffffffff,44.0,0.0,0.0,0.0
82b377fffffffff,181.0,0.0,0.0,0.0
82c207fffffffff,137.0,0.0,0.0,0.0
82c21ffffffffff,874.0,0.0,0.0,0.0
82c227fffffffff,71.0,0.0,0.0,0.0
82c22ffffffffff,540.0,0.0,0.0,0.0
82c2c7fffffffff,2184.0,0.0,0.0,0.0
82c2cffffffffff,670.0,0.0,0.0,0.0
82c2d7fffffffff,642.0,0.0,0.0,0.0
82c2dffffffffff,214.0,0.0,0.0,0.0
82c2e7fffffffff,7670.0,0.0,0.0,0.0
82c2effffffffff,508.0,0.0,0.0,0.0
82c2f7fffffffff,2023.0,0.0,0.0,0.0
82c30ffffffffff,22.0,0.0,0.0,0.0
82c32ffffffffff,162.0,0.0,0.0,0.0
82c347fffffffff,252.0,0.0,0.0,0.0
82c34ffffffffff,67.0,0.0,0.0,0.0
82c357fffffffff,440.0,0.0,0.0,0.0
82c35ffffffffff,19.0,0.0,0.0,0.0
82c367fffffffff,37.0,0.0,0.0,0.0
82c36ffffffffff,34.0,0.0,0.0,0.0
82c377fffffffff,197.0,0.0,0.0,0.0
82ce97fffffffff,16.0,0.0,0.0,0.0
82ce9ffffffffff,3.0,0.0,0.0,0.0
