cell_id,Pachyramphus viridis,Pachyramphus viridis xanthogenys/peruanus,Pachyramphus viridis griseigularis,Pachyramphus viridis viridis
845f03dffffffff,17.0,0.0,0.0,0.0
845f143ffffffff,5.0,0.0,2.0,0.0
84815d9ffffffff,2.0,0.0,0.0,2.0
8481885ffffffff,1.0,0.0,0.0,1.0
848b0d1ffffffff,3.0,0.0,0.0,3.0
848b40dffffffff,3.0,0.0,0.0,0.0
848b69bffffffff,1.0,1.0,0.0,0.0
848b6cbffffffff,2.0,0.0,0.0,0.0
848f401ffffffff,1.0,1.0,0.0,0.0
848f4b3ffffffff,11.0,0.0,0.0,0.0
848f559ffffffff,6.0,0.0,0.0,0.0
848f721ffffffff,2.0,2.0,0.0,0.0
84a8125ffffffff,2.0,0.0,0.0,2.0
84a9531ffffffff,2.0,0.0,0.0,2.0
84a953bffffffff,2.0,0.0,0.0,2.0
84a95edffffffff,2.0,0.0,0.0,0.0
84a9611ffffffff,9.0,0.0,0.0,0.0
84a9613ffffffff,21.0,0.0,0.0,0.0
84a9617ffffffff,5.0,0.0,0.0,0.0
84a9619ffffffff,13.0,0.0,0.0,0.0
84a9649ffffffff,2.0,0.0,0.0,0.0
84a9653ffffffff,5.0,0.0,0.0,0.0
84a96c5ffffffff,1.0,0.0,0.0,0.0
84b24dbffffffff,2.0,0.0,0.0,0.0
84b24ddffffffff,2.0,0.0,0.0,0.0
84b2691ffffffff,2.0,0.0,0.0,0.0
84b2695ffffffff,2.0,0.0,0.0,0.0
84b26b9ffffffff,1.0,0.0,0.0,0.0
84b26bdffffffff,6.0,0.0,0.0,0.0
84c2c53ffffffff,1.0,0.0,0.0,0.0
84c2c5bffffffff,1.0,0.0,0.0,0.0
84c2c97ffffffff,1.0,0.0,0.0,0.0
84c2c99ffffffff,1.0,0.0,0.0,0.0
84c2cd3ffffffff,6.0,0.0,0.0,0.0
84c2d1bffffffff,1.0,0.0,0.0,0.0
84c2e31ffffffff,4.0,0.0,0.0,0.0
84c2e33ffffffff,1.0,0.0,0.0,0.0
84c2e85ffffffff,3.0,0.0,0.0,1.0
