cell_id,Cecropis melanocrissus,Cecropis melanocrissus domicella,Cecropis melanocrissus [melanocrissus Group]
835413fffffffff,1.0,1.0,0.0
83541afffffffff,1.0,1.0,0.0
8354adfffffffff,2.0,2.0,0.0
835998fffffffff,2.0,2.0,0.0
83599efffffffff,2.0,2.0,0.0
836a45fffffffff,2.0,2.0,0.0
836a58fffffffff,5.0,0.0,5.0
836adefffffffff,1.0,0.0,0.0
837a40fffffffff,2.0,0.0,1.0
837a41fffffffff,1.0,0.0,1.0
837a68fffffffff,4.0,0.0,0.0
837a6afffffffff,10.0,0.0,0.0
837a6efffffffff,1.0,0.0,1.0
8382d3fffffffff,2.0,0.0,2.0
83971cfffffffff,1.0,0.0,1.0
