cell_id,Hemixos cinereus,Hemixos cinereus cinereus,Hemixos cinereus connectens
826507fffffffff,88.0,18.0,0.0
82651ffffffffff,39.0,4.0,0.0
826527fffffffff,63.0,17.0,0.0
826817fffffffff,8.0,0.0,8.0
828c97fffffffff,1.0,0.0,1.0
