cell_id,Phapitreron amethystinus,Phapitreron amethystinus amethystinus/imeldae,Phapitreron amethystinus maculipectus,Phapitreron amethystinus frontalis
8468415ffffffff,8.0,0.0,0.0,0.0
8468417ffffffff,1.0,0.0,0.0,0.0
8468423ffffffff,8.0,2.0,0.0,0.0
8468435ffffffff,76.0,12.0,0.0,0.0
8468437ffffffff,1.0,0.0,0.0,0.0
846843dffffffff,2.0,0.0,0.0,0.0
8468447ffffffff,58.0,2.0,0.0,0.0
8468459ffffffff,1.0,0.0,0.0,0.0
846846dffffffff,35.0,0.0,0.0,0.0
84684e5ffffffff,173.0,16.0,0.0,0.0
846855bffffffff,11.0,0.0,0.0,0.0
846856bffffffff,3.0,3.0,0.0,0.0
8468583ffffffff,2.0,0.0,0.0,0.0
8468589ffffffff,1.0,0.0,0.0,0.0
846858bffffffff,25.0,1.0,0.0,0.0
84685c3ffffffff,5.0,0.0,0.0,0.0
84685c5ffffffff,1.0,0.0,0.0,0.0
84685c7ffffffff,66.0,16.0,0.0,0.0
84685d1ffffffff,100.0,10.0,0.0,0.0
84685d5ffffffff,4.0,0.0,0.0,0.0
84685d7ffffffff,7.0,3.0,0.0,0.0
84685dbffffffff,5.0,1.0,0.0,0.0
84685e1ffffffff,1.0,0.0,0.0,0.0
84685e3ffffffff,11.0,0.0,0.0,0.0
84685e7ffffffff,133.0,56.0,0.0,0.0
84685e9ffffffff,44.0,10.0,0.0,0.0
84685edffffffff,3.0,1.0,0.0,0.0
8468651ffffffff,16.0,16.0,0.0,0.0
8468657ffffffff,8.0,8.0,0.0,0.0
84686e9ffffffff,32.0,6.0,0.0,0.0
8468751ffffffff,3.0,0.0,0.0,0.0
8469417ffffffff,1.0,0.0,0.0,0.0
8469439ffffffff,23.0,0.0,0.0,0.0
84694cdffffffff,7.0,2.0,0.0,0.0
84694e1ffffffff,210.0,32.0,0.0,0.0
84694e5ffffffff,26.0,3.0,0.0,0.0
84694e7ffffffff,10.0,0.0,0.0,0.0
84694ebffffffff,4.0,0.0,0.0,0.0
8469683ffffffff,2.0,0.0,0.0,0.0
8469685ffffffff,3.0,1.0,0.0,0.0
846969dffffffff,2.0,0.0,0.0,0.0
84696b9ffffffff,1.0,0.0,0.0,0.0
84696c1ffffffff,1.0,0.0,0.0,0.0
84696c3ffffffff,2.0,0.0,0.0,0.0
84696cbffffffff,4.0,0.0,0.0,0.0
84696d5ffffffff,1.0,0.0,0.0,0.0
