cell_id,Trogon surrucura,Trogon surrucura aurantius,Trogon surrucura surrucura
83a966fffffffff,1.0,0.0,0.0
83a968fffffffff,76.0,0.0,0.0
83a96afffffffff,239.0,0.0,0.0
83a96bfffffffff,22.0,0.0,0.0
83a96efffffffff,62.0,0.0,0.0
83a971fffffffff,47.0,0.0,0.0
83a972fffffffff,16.0,0.0,1.0
83a973fffffffff,34.0,0.0,0.0
83a974fffffffff,3.0,0.0,0.0
83a975fffffffff,2.0,0.0,0.0
83a976fffffffff,78.0,0.0,0.0
83c2d3fffffffff,1.0,0.0,0.0
