cell_id,Ptilopachus petrosus,Ptilopachus petrosus petrosus,Ptilopachus petrosus major
84540abffffffff,6.0,0.0,0.0
8454195ffffffff,5.0,0.0,0.0
8454197ffffffff,1.0,0.0,0.0
84541a3ffffffff,40.0,4.0,0.0
84541a5ffffffff,30.0,10.0,0.0
84541b9ffffffff,41.0,0.0,0.0
84541bbffffffff,9.0,0.0,0.0
84541bdffffffff,7.0,0.0,0.0
8454409ffffffff,2.0,0.0,0.0
845440dffffffff,9.0,0.0,0.0
8454443ffffffff,1.0,0.0,0.0
8454447ffffffff,3.0,0.0,0.0
84544d5ffffffff,1.0,0.0,0.0
84546bdffffffff,1.0,0.0,0.0
8454a93ffffffff,73.0,5.0,0.0
8454a9bffffffff,17.0,2.0,0.0
8454ad5ffffffff,22.0,2.0,0.0
8454addffffffff,2.0,0.0,0.0
8454e05ffffffff,2.0,0.0,0.0
8454e07ffffffff,1.0,0.0,0.0
8454e21ffffffff,1.0,0.0,0.0
8454e25ffffffff,3.0,0.0,0.0
8454e41ffffffff,63.0,1.0,0.0
8454e43ffffffff,4.0,0.0,0.0
8454e49ffffffff,2.0,0.0,0.0
8454e4bffffffff,6.0,0.0,0.0
8454e4dffffffff,65.0,17.0,0.0
8454e51ffffffff,12.0,0.0,0.0
8454e59ffffffff,20.0,7.0,0.0
8454e5bffffffff,19.0,5.0,0.0
8454e5dffffffff,4.0,0.0,0.0
8454e97ffffffff,1.0,0.0,0.0
8454f43ffffffff,4.0,2.0,0.0
8454f49ffffffff,2.0,1.0,0.0
8454f4dffffffff,31.0,3.0,0.0
8454f51ffffffff,3.0,0.0,0.0
8454f55ffffffff,1.0,0.0,0.0
84580bdffffffff,2.0,0.0,0.0
8458585ffffffff,1.0,0.0,0.0
84585a1ffffffff,2.0,0.0,0.0
8458969ffffffff,7.0,0.0,0.0
8458a4dffffffff,9.0,0.0,0.0
8458a65ffffffff,2.0,0.0,0.0
8458a69ffffffff,4.0,0.0,0.0
8458ae9ffffffff,1.0,0.0,0.0
8458b27ffffffff,1.0,0.0,0.0
8458b2dffffffff,1.0,0.0,0.0
8458b51ffffffff,8.0,0.0,0.0
8458cd9ffffffff,5.0,0.0,0.0
8458e2dffffffff,94.0,0.0,0.0
8458e67ffffffff,35.0,0.0,0.0
8458eb5ffffffff,1.0,0.0,0.0
8458f47ffffffff,1.0,0.0,0.0
8458f5bffffffff,24.0,0.0,0.0
8458f5dffffffff,1.0,0.0,0.0
8459827ffffffff,4.0,0.0,0.0
84598bbffffffff,1.0,0.0,0.0
845990bffffffff,1.0,0.0,0.0
845991bffffffff,2.0,0.0,0.0
8459933ffffffff,2.0,0.0,0.0
84599a5ffffffff,2.0,2.0,0.0
84599e7ffffffff,6.0,0.0,0.0
846a109ffffffff,2.0,0.0,0.0
846a155ffffffff,1.0,0.0,0.0
846a5a9ffffffff,25.0,0.0,0.0
846aee1ffffffff,3.0,0.0,0.0
846bb61ffffffff,2.0,0.0,0.0
8475201ffffffff,187.0,7.0,0.0
8475205ffffffff,3.0,0.0,0.0
8475207ffffffff,165.0,23.0,0.0
8475209ffffffff,9.0,5.0,0.0
847520bffffffff,4.0,0.0,0.0
847521dffffffff,2.0,0.0,0.0
8475293ffffffff,26.0,2.0,0.0
8475299ffffffff,3.0,0.0,0.0
847529bffffffff,91.0,7.0,0.0
84752d3ffffffff,1.0,1.0,0.0
8475313ffffffff,3.0,0.0,0.0
8475323ffffffff,1.0,0.0,0.0
8475361ffffffff,4.0,0.0,0.0
847a407ffffffff,1.0,0.0,0.0
847a40bffffffff,6.0,0.0,0.0
847a415ffffffff,2.0,0.0,0.0
847a481ffffffff,20.0,0.0,0.0
847a483ffffffff,17.0,0.0,0.0
847a4b5ffffffff,5.0,0.0,0.0
