cell_id,Dicrurus balicassius,Dicrurus balicassius balicassius/abraensis,Dicrurus balicassius mirabilis
846846dffffffff,2.0,0.0,2.0
84694e1ffffffff,2.0,0.0,0.0
84694e5ffffffff,1.0,0.0,0.0
846969dffffffff,2.0,0.0,0.0
