cell_id,Patagioenas maculosa,Patagioenas maculosa albipennis,Patagioenas maculosa maculosa
848b611ffffffff,2.0,2.0,0.0
848b61bffffffff,2.0,0.0,0.0
848e607ffffffff,3.0,0.0,0.0
848e663ffffffff,14.0,12.0,0.0
848f597ffffffff,1.0,0.0,0.0
84a865bffffffff,2.0,0.0,0.0
84a92d9ffffffff,3.0,0.0,3.0
84a945bffffffff,2.0,0.0,0.0
84a9611ffffffff,4.0,0.0,0.0
84a9613ffffffff,18.0,0.0,0.0
84a9617ffffffff,15.0,0.0,0.0
84a9619ffffffff,11.0,0.0,0.0
84a965bffffffff,2.0,0.0,0.0
84a96adffffffff,1.0,0.0,0.0
84a96c5ffffffff,2.0,0.0,0.0
84a96e1ffffffff,4.0,0.0,0.0
84b2437ffffffff,1.0,0.0,0.0
84b2463ffffffff,1.0,0.0,1.0
84b248bffffffff,44.0,0.0,0.0
84b2491ffffffff,1.0,0.0,0.0
84b2493ffffffff,2.0,0.0,0.0
84b2497ffffffff,2.0,0.0,0.0
84b2499ffffffff,18.0,0.0,0.0
84b249bffffffff,12.0,0.0,0.0
84b249dffffffff,38.0,0.0,0.0
84b24b3ffffffff,2.0,0.0,0.0
84b24b9ffffffff,7.0,0.0,0.0
84b24bbffffffff,4.0,0.0,0.0
84b24c1ffffffff,2.0,0.0,0.0
84b24c3ffffffff,2.0,0.0,0.0
84b24c7ffffffff,3.0,0.0,0.0
84b24c9ffffffff,1.0,0.0,0.0
84b24d1ffffffff,277.0,0.0,0.0
84b24d3ffffffff,280.0,0.0,0.0
84b24d5ffffffff,21.0,0.0,0.0
84b24d7ffffffff,37.0,0.0,0.0
84b24d9ffffffff,33.0,0.0,0.0
84b24dbffffffff,322.0,0.0,0.0
84b24ddffffffff,4.0,0.0,0.0
84b25cdffffffff,3.0,0.0,0.0
84b2613ffffffff,14.0,0.0,0.0
84b261bffffffff,2.0,0.0,0.0
84b2681ffffffff,4.0,0.0,0.0
84b2687ffffffff,11.0,0.0,0.0
84b2689ffffffff,2.0,0.0,0.0
84b268bffffffff,7.0,0.0,0.0
84b268dffffffff,5.0,0.0,0.0
84b2691ffffffff,27.0,0.0,0.0
84b2693ffffffff,11.0,0.0,0.0
84b2695ffffffff,13.0,0.0,0.0
84b2697ffffffff,5.0,0.0,0.0
84b269dffffffff,10.0,0.0,0.0
84b26a3ffffffff,1.0,0.0,0.0
84b26abffffffff,2.0,0.0,0.0
84b26b1ffffffff,26.0,0.0,0.0
84b26b3ffffffff,17.0,0.0,0.0
84b26b9ffffffff,14.0,0.0,0.0
84b26bbffffffff,1.0,0.0,0.0
84b26bdffffffff,88.0,0.0,0.0
84b26c3ffffffff,2.0,0.0,0.0
84b26c9ffffffff,2.0,0.0,0.0
84b26d1ffffffff,2.0,0.0,0.0
84b26d7ffffffff,28.0,0.0,0.0
84b26d9ffffffff,2.0,0.0,0.0
84b26ddffffffff,3.0,0.0,0.0
84b270bffffffff,1.0,0.0,0.0
84b270dffffffff,4.0,0.0,0.0
84b2723ffffffff,2.0,0.0,0.0
84b2c11ffffffff,2.0,0.0,2.0
84b2eb9ffffffff,3.0,0.0,0.0
84b2ec5ffffffff,3.0,0.0,3.0
84b2ecdffffffff,6.0,0.0,6.0
84b2ee3ffffffff,2.0,0.0,0.0
84b2ee7ffffffff,1.0,0.0,0.0
84b300bffffffff,1.0,1.0,0.0
84b3043ffffffff,6.0,0.0,0.0
84b305dffffffff,74.0,9.0,0.0
84b30b3ffffffff,7.0,4.0,0.0
84b30b9ffffffff,23.0,15.0,0.0
84b30bbffffffff,5.0,1.0,0.0
84b30bdffffffff,13.0,6.0,0.0
84b3205ffffffff,2.0,0.0,0.0
84b320bffffffff,1.0,0.0,0.0
84b326bffffffff,2.0,2.0,0.0
84b3313ffffffff,2.0,0.0,0.0
84b3347ffffffff,2.0,0.0,0.0
84b3355ffffffff,1.0,0.0,0.0
84b3357ffffffff,3.0,0.0,0.0
84b343bffffffff,2.0,0.0,0.0
84b3513ffffffff,2.0,0.0,0.0
84b3543ffffffff,1.0,1.0,0.0
84b354bffffffff,2.0,2.0,0.0
84b355dffffffff,8.0,8.0,0.0
84b3565ffffffff,4.0,2.0,0.0
84b35c1ffffffff,2.0,0.0,2.0
84b35e5ffffffff,2.0,2.0,0.0
84b35e9ffffffff,5.0,0.0,0.0
84b36b3ffffffff,2.0,0.0,0.0
84b3731ffffffff,14.0,2.0,0.0
84b3737ffffffff,1.0,1.0,0.0
84c21b1ffffffff,3.0,0.0,3.0
84c21b3ffffffff,3.0,0.0,0.0
84c21bbffffffff,3.0,0.0,3.0
84c2c23ffffffff,3.0,0.0,0.0
84c2c53ffffffff,8.0,0.0,8.0
84c2c5bffffffff,3.0,0.0,3.0
84c2c6dffffffff,2.0,0.0,0.0
84c2c91ffffffff,23.0,0.0,0.0
84c2c95ffffffff,4.0,0.0,0.0
84c2c97ffffffff,39.0,0.0,0.0
84c2c99ffffffff,102.0,0.0,0.0
84c2c9bffffffff,3.0,0.0,0.0
84c2cb5ffffffff,3.0,0.0,0.0
84c2cbbffffffff,2.0,0.0,0.0
84c2cd3ffffffff,158.0,0.0,0.0
84c2d4bffffffff,2.0,0.0,0.0
84c2d85ffffffff,2.0,0.0,0.0
84c2d93ffffffff,2.0,0.0,0.0
84c2db1ffffffff,3.0,0.0,0.0
84c2e31ffffffff,13.0,0.0,0.0
84c2e33ffffffff,2.0,0.0,0.0
84c2e37ffffffff,4.0,0.0,0.0
84c2e95ffffffff,2.0,0.0,0.0
84c2e97ffffffff,7.0,0.0,0.0
84c2e99ffffffff,37.0,0.0,0.0
84c2e9bffffffff,2.0,0.0,0.0
84c2e9dffffffff,2.0,0.0,0.0
84c2eb9ffffffff,3.0,0.0,0.0
84c2ebbffffffff,15.0,0.0,0.0
84c2f33ffffffff,3.0,0.0,0.0
84c2f37ffffffff,5.0,0.0,0.0
84c3487ffffffff,4.0,0.0,0.0
84c34b1ffffffff,1.0,0.0,0.0
84c34b7ffffffff,8.0,0.0,0.0
84c34bdffffffff,12.0,0.0,0.0
84ce807ffffffff,4.0,0.0,0.0
84ce827ffffffff,2.0,0.0,0.0
84ce961ffffffff,2.0,0.0,0.0
84ce96bffffffff,10.0,0.0,0.0
84ce96dffffffff,2.0,0.0,0.0
