cell_id,Lampornis amethystinus,Lampornis amethystinus [amethystinus Group],Lampornis amethystinus margaritae
842ba51ffffffff,7.0,0.0,0.0
844524bffffffff,3.0,0.0,0.0
844836dffffffff,3.0,0.0,0.0
8448a21ffffffff,8.0,0.0,0.0
8449865ffffffff,3.0,0.0,0.0
8449917ffffffff,1.0,1.0,0.0
8449945ffffffff,2.0,0.0,0.0
8449959ffffffff,1.0,0.0,0.0
844995bffffffff,1.0,0.0,0.0
844995dffffffff,9.0,0.0,0.0
8449963ffffffff,11.0,0.0,0.0
844996bffffffff,1.0,0.0,0.0
8449981ffffffff,1.0,1.0,0.0
84499c5ffffffff,2.0,0.0,0.0
84499cdffffffff,2.0,0.0,0.0
8449a83ffffffff,1.0,1.0,0.0
8449a85ffffffff,6.0,4.0,0.0
8449b1dffffffff,2.0,0.0,1.0
8449b2dffffffff,16.0,0.0,0.0
8449b33ffffffff,1.0,0.0,0.0
846d05bffffffff,1.0,0.0,0.0
846d23bffffffff,17.0,1.0,0.0
846d283ffffffff,28.0,19.0,0.0
846d287ffffffff,13.0,0.0,0.0
846d295ffffffff,2.0,0.0,0.0
846d2a9ffffffff,1.0,0.0,0.0
846d2abffffffff,4.0,0.0,0.0
846d305ffffffff,8.0,5.0,0.0
846d30dffffffff,4.0,0.0,0.0
846d32bffffffff,2.0,1.0,0.0
846d335ffffffff,19.0,0.0,19.0
846d337ffffffff,52.0,0.0,50.0
846d34bffffffff,10.0,0.0,0.0
846d363ffffffff,1.0,0.0,0.0
846d36dffffffff,2.0,0.0,0.0
