cell_id,Scytalopus rodriguezi,Scytalopus rodriguezi yariguiorum,Scytalopus rodriguezi rodriguezi
8466081ffffffff,5.0,1.0,0.0
8466085ffffffff,2.0,0.0,0.0
846608dffffffff,440.0,58.0,0.0
8466c0dffffffff,2.0,0.0,0.0
8466c47ffffffff,70.0,0.0,0.0
8466c49ffffffff,3.0,0.0,0.0
8466c4dffffffff,12.0,0.0,0.0
8466c61ffffffff,1.0,0.0,0.0
8466c63ffffffff,76.0,0.0,0.0
8466c6bffffffff,132.0,0.0,0.0
8466e27ffffffff,2.0,0.0,0.0
8466e2dffffffff,32.0,0.0,0.0
