cell_id,Empidonax traillii,Empidonax traillii traillii,Empidonax traillii brewsteri/adastus,Empidonax traillii extimus
830c41fffffffff,1.0,0.0,0.0,0.0
830c42fffffffff,2.0,0.0,0.0,0.0
830c55fffffffff,1.0,0.0,0.0,0.0
830ca4fffffffff,2.0,0.0,0.0,0.0
830ed9fffffffff,2.0,0.0,0.0,0.0
831280fffffffff,2.0,0.0,0.0,0.0
831288fffffffff,2.0,0.0,0.0,0.0
831289fffffffff,9.0,0.0,4.0,0.0
83128bfffffffff,13.0,0.0,0.0,0.0
83129dfffffffff,1.0,0.0,0.0,0.0
8312a2fffffffff,15.0,0.0,0.0,0.0
8312b0fffffffff,9.0,0.0,0.0,0.0
8312c1fffffffff,3.0,0.0,0.0,0.0
8312c3fffffffff,6.0,0.0,0.0,0.0
8312cafffffffff,1.0,0.0,0.0,0.0
8312cbfffffffff,5.0,0.0,1.0,0.0
8312ccfffffffff,2.0,0.0,0.0,0.0
8312d1fffffffff,4.0,0.0,0.0,0.0
8312d8fffffffff,2.0,0.0,0.0,0.0
8312d9fffffffff,7.0,0.0,0.0,0.0
8312dbfffffffff,4.0,0.0,0.0,0.0
8312ddfffffffff,13.0,0.0,0.0,0.0
8312defffffffff,6.0,0.0,5.0,0.0
8312eafffffffff,4.0,0.0,0.0,0.0
8312f1fffffffff,1.0,0.0,0.0,0.0
83139efffffffff,19.0,0.0,0.0,0.0
831aa0fffffffff,2.0,0.0,0.0,0.0
832608fffffffff,2.0,0.0,0.0,0.0
832609fffffffff,11.0,0.0,0.0,0.0
83260afffffffff,18.0,8.0,0.0,0.0
83260bfffffffff,14.0,0.0,0.0,0.0
832611fffffffff,1.0,0.0,0.0,0.0
832618fffffffff,2.0,0.0,0.0,0.0
832619fffffffff,2.0,2.0,0.0,0.0
83261afffffffff,2.0,0.0,0.0,0.0
83261bfffffffff,2.0,2.0,0.0,0.0
832621fffffffff,1.0,1.0,0.0,0.0
832624fffffffff,2.0,0.0,0.0,0.0
832625fffffffff,2.0,0.0,0.0,0.0
832626fffffffff,2.0,0.0,0.0,0.0
83262bfffffffff,2.0,0.0,0.0,0.0
83262cfffffffff,11.0,1.0,0.0,0.0
83262dfffffffff,5.0,0.0,0.0,0.0
832635fffffffff,3.0,0.0,0.0,0.0
832640fffffffff,8.0,0.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0,0.0
832642fffffffff,4.0,0.0,0.0,0.0
832643fffffffff,6.0,0.0,0.0,0.0
832646fffffffff,35.0,0.0,0.0,0.0
832648fffffffff,29.0,2.0,0.0,0.0
832649fffffffff,6.0,0.0,0.0,0.0
83264afffffffff,15.0,0.0,0.0,0.0
83264cfffffffff,34.0,1.0,0.0,0.0
83264dfffffffff,28.0,0.0,0.0,0.0
83264efffffffff,9.0,0.0,0.0,0.0
832650fffffffff,9.0,3.0,0.0,0.0
832651fffffffff,4.0,0.0,0.0,0.0
832652fffffffff,12.0,0.0,0.0,0.0
