cell_id,Apus affinis,Apus affinis [affinis Group],Apus affinis bannermani,Apus affinis singalensis
842084dffffffff,2.0,0.0,0.0,0.0
84209a5ffffffff,151.0,4.0,0.0,0.0
84209a9ffffffff,1.0,0.0,0.0,0.0
84209e1ffffffff,6.0,0.0,0.0,0.0
84209e3ffffffff,10.0,0.0,0.0,0.0
84209e7ffffffff,83.0,0.0,0.0,0.0
8420b1bffffffff,2.0,0.0,0.0,0.0
842c123ffffffff,1.0,0.0,0.0,0.0
842c32bffffffff,2.0,0.0,0.0,0.0
842d123ffffffff,1.0,0.0,0.0,0.0
842d127ffffffff,8.0,0.0,0.0,0.0
842d12dffffffff,4.0,0.0,0.0,0.0
842da13ffffffff,7.0,0.0,0.0,0.0
842da17ffffffff,108.0,0.0,0.0,0.0
842da1bffffffff,3.0,0.0,0.0,0.0
842da59ffffffff,5.0,0.0,0.0,0.0
842da5dffffffff,7.0,0.0,0.0,0.0
842da81ffffffff,64.0,0.0,0.0,0.0
842da83ffffffff,4.0,0.0,0.0,0.0
842da89ffffffff,2.0,0.0,0.0,0.0
842da8bffffffff,13.0,0.0,0.0,0.0
842da91ffffffff,6.0,0.0,0.0,0.0
842da9dffffffff,2.0,0.0,0.0,0.0
842dac5ffffffff,5.0,0.0,0.0,0.0
842dacdffffffff,10.0,0.0,0.0,0.0
842dae9ffffffff,18.0,0.0,0.0,0.0
842db01ffffffff,32.0,0.0,0.0,0.0
842db03ffffffff,27.0,0.0,0.0,0.0
842db05ffffffff,14.0,0.0,0.0,0.0
842db07ffffffff,4.0,0.0,0.0,0.0
842db0bffffffff,25.0,0.0,0.0,0.0
842db11ffffffff,31.0,2.0,0.0,0.0
842db15ffffffff,124.0,11.0,0.0,0.0
842db1bffffffff,2.0,0.0,0.0,0.0
842db1dffffffff,125.0,2.0,0.0,0.0
842db21ffffffff,2.0,0.0,0.0,0.0
842db25ffffffff,2.0,0.0,0.0,0.0
842db2bffffffff,32.0,0.0,0.0,0.0
842db3dffffffff,3.0,0.0,0.0,0.0
8438145ffffffff,3.0,0.0,0.0,0.0
8438161ffffffff,1.0,0.0,0.0,0.0
8438325ffffffff,3.0,0.0,0.0,0.0
843842bffffffff,3.0,0.0,0.0,0.0
84384e5ffffffff,1.0,0.0,0.0,0.0
8438681ffffffff,5.0,0.0,0.0,0.0
8438687ffffffff,2.0,0.0,0.0,0.0
84386a1ffffffff,4.0,0.0,0.0,0.0
84386e3ffffffff,1.0,0.0,0.0,0.0
84391a5ffffffff,7.0,0.0,0.0,0.0
84391a9ffffffff,34.0,0.0,0.0,0.0
84391e1ffffffff,560.0,0.0,0.0,0.0
84391e7ffffffff,6.0,0.0,0.0,0.0
84391ebffffffff,31.0,0.0,0.0,0.0
8439801ffffffff,1.0,0.0,0.0,0.0
8439811ffffffff,1.0,0.0,0.0,0.0
8439815ffffffff,3.0,0.0,0.0,0.0
8439817ffffffff,5.0,0.0,0.0,0.0
8439821ffffffff,4.0,0.0,0.0,0.0
8439825ffffffff,3.0,0.0,0.0,0.0
8439827ffffffff,50.0,0.0,0.0,0.0
8439831ffffffff,1.0,0.0,0.0,0.0
8439833ffffffff,35.0,0.0,0.0,0.0
8439835ffffffff,2.0,0.0,0.0,0.0
8439837ffffffff,13.0,0.0,0.0,0.0
843983bffffffff,251.0,0.0,0.0,0.0
843983dffffffff,1.0,0.0,0.0,0.0
8439853ffffffff,2.0,0.0,0.0,0.0
8439855ffffffff,2.0,0.0,0.0,0.0
8439881ffffffff,2.0,0.0,0.0,0.0
8439883ffffffff,2.0,0.0,0.0,0.0
8439885ffffffff,3.0,0.0,0.0,0.0
8439891ffffffff,2.0,0.0,0.0,0.0
843989bffffffff,26.0,0.0,0.0,0.0
84398a1ffffffff,2.0,0.0,0.0,0.0
84398a3ffffffff,1.0,0.0,0.0,0.0
84398adffffffff,2.0,0.0,0.0,0.0
84398c7ffffffff,2.0,0.0,0.0,0.0
84398e5ffffffff,13.0,0.0,0.0,0.0
84398e7ffffffff,40.0,0.0,0.0,0.0
84398edffffffff,33.0,0.0,0.0,0.0
8439911ffffffff,3.0,0.0,0.0,0.0
8439913ffffffff,2.0,0.0,0.0,0.0
843991bffffffff,59.0,0.0,0.0,0.0
843993bffffffff,2.0,0.0,0.0,0.0
84399c9ffffffff,8.0,0.0,0.0,0.0
8439a87ffffffff,2.0,0.0,0.0,0.0
8439a91ffffffff,3.0,0.0,0.0,0.0
8439a93ffffffff,3.0,0.0,0.0,0.0
8439a99ffffffff,29.0,0.0,0.0,0.0
