cell_id,Larus fuscus,Larus fuscus fuscus,Larus fuscus intermedius,Larus fuscus graellsii,Larus fuscus heuglini,Larus fuscus barabensis,Larus fuscus taimyrensis,Larus fuscus intermedius/graellsii
820127fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820137fffffffff,71.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
820607fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820657fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820667fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82068ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8206cffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8206d7fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8206dffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82070ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820747fffffffff,1171.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0
82074ffffffffff,144.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
820757fffffffff,251.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
82075ffffffffff,3190.0,0.0,0.0,727.0,0.0,0.0,0.0,0.0
820767fffffffff,131.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
820777fffffffff,311.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0
820807fffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820817fffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82082ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820837fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,408.0,108.0,2.0,0.0,0.0,0.0,0.0,0.0
82088ffffffffff,85.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
820897fffffffff,78.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,685.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0
8208a7fffffffff,14.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
8208affffffffff,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208c7fffffffff,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8208cffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208d7fffffffff,68.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8208dffffffffff,78.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0
8208e7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208effffffffff,35.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8208f7fffffffff,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820937fffffffff,23.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
