cell_id,Psittacara holochlorus,Psittacara holochlorus holochlorus/brewsteri,Psittacara holochlorus rubritorquis
834520fffffffff,14.0,0.0,3.0
834524fffffffff,198.0,0.0,100.0
834525fffffffff,81.0,0.0,55.0
834526fffffffff,59.0,0.0,35.0
834530fffffffff,24.0,0.0,15.0
834532fffffffff,1.0,0.0,0.0
834534fffffffff,6.0,0.0,6.0
834535fffffffff,281.0,0.0,191.0
83456dfffffffff,9.0,0.0,0.0
834880fffffffff,258.0,0.0,0.0
834886fffffffff,1.0,0.0,0.0
8348a0fffffffff,24.0,0.0,0.0
8348a2fffffffff,910.0,0.0,0.0
8348b1fffffffff,80.0,0.0,0.0
8348b2fffffffff,1222.0,92.0,0.0
8348b3fffffffff,4946.0,319.0,0.0
8348b5fffffffff,3.0,0.0,0.0
834990fffffffff,8.0,0.0,0.0
834991fffffffff,8.0,0.0,0.0
834992fffffffff,7.0,0.0,0.0
834993fffffffff,4.0,0.0,0.0
834998fffffffff,153.0,8.0,0.0
83499bfffffffff,48.0,0.0,0.0
83499cfffffffff,61.0,0.0,0.0
83499dfffffffff,1.0,0.0,0.0
83499efffffffff,108.0,0.0,0.0
836d04fffffffff,5.0,0.0,0.0
836d05fffffffff,160.0,61.0,0.0
836d22fffffffff,47.0,2.0,0.0
836d23fffffffff,550.0,99.0,0.0
836d2efffffffff,2.0,0.0,0.0
836d31fffffffff,275.0,60.0,0.0
836d61fffffffff,2.0,0.0,0.0
836d64fffffffff,607.0,0.0,480.0
836d65fffffffff,82.0,0.0,26.0
836d66fffffffff,112.0,0.0,55.0
836d74fffffffff,34.0,0.0,13.0
836d75fffffffff,5.0,0.0,0.0
