cell_id,Aegolius funereus,Aegolius funereus [funereus Group],Aegolius funereus richardsoni
8408107ffffffff,2.0,0.0,0.0
8408193ffffffff,1.0,0.0,0.0
84081edffffffff,1.0,0.0,0.0
840880dffffffff,6.0,4.0,0.0
8408845ffffffff,4.0,0.0,0.0
8408847ffffffff,5.0,2.0,0.0
840884dffffffff,1.0,0.0,0.0
84088b5ffffffff,2.0,0.0,0.0
84089c3ffffffff,2.0,0.0,0.0
84089d9ffffffff,2.0,0.0,0.0
8408a39ffffffff,1.0,1.0,0.0
8408a43ffffffff,1.0,0.0,0.0
8408a53ffffffff,2.0,2.0,0.0
8408acdffffffff,1.0,0.0,0.0
8408c21ffffffff,1.0,0.0,0.0
8408c29ffffffff,3.0,2.0,0.0
8408c91ffffffff,1.0,0.0,0.0
8408c95ffffffff,2.0,0.0,0.0
8408c97ffffffff,1.0,0.0,0.0
8408cd7ffffffff,2.0,0.0,0.0
8408d11ffffffff,7.0,1.0,0.0
8408d19ffffffff,22.0,5.0,0.0
8408d1bffffffff,2.0,2.0,0.0
8408d57ffffffff,1.0,0.0,0.0
8408d81ffffffff,5.0,0.0,0.0
8408d87ffffffff,2.0,0.0,0.0
8408d8bffffffff,4.0,0.0,0.0
8408dd9ffffffff,2.0,0.0,0.0
8408e89ffffffff,1.0,0.0,0.0
8408edbffffffff,1.0,0.0,0.0
8408f2dffffffff,2.0,0.0,0.0
8408f47ffffffff,6.0,0.0,0.0
840991bffffffff,10.0,0.0,0.0
8409993ffffffff,7.0,0.0,0.0
84099e9ffffffff,2.0,0.0,0.0
840a337ffffffff,7.0,0.0,0.0
840c213ffffffff,2.0,0.0,0.0
840c217ffffffff,2.0,0.0,0.0
840c2d9ffffffff,2.0,0.0,0.0
840c2dbffffffff,3.0,0.0,0.0
840c42dffffffff,4.0,0.0,0.0
840c461ffffffff,1.0,0.0,0.0
840c46dffffffff,5.0,0.0,0.0
840c51dffffffff,14.0,0.0,0.0
840c555ffffffff,2.0,0.0,0.0
840c55dffffffff,9.0,0.0,0.0
840c5a5ffffffff,1.0,0.0,0.0
840c5adffffffff,31.0,0.0,0.0
840c621ffffffff,3.0,0.0,0.0
840c623ffffffff,1.0,0.0,0.0
840c625ffffffff,1.0,0.0,0.0
840c62bffffffff,2.0,0.0,0.0
840c639ffffffff,2.0,0.0,0.0
840c641ffffffff,2.0,0.0,0.0
840c645ffffffff,3.0,0.0,0.0
840c665ffffffff,2.0,0.0,0.0
840c705ffffffff,6.0,0.0,0.0
840c707ffffffff,4.0,0.0,0.0
840c70dffffffff,1.0,0.0,0.0
840c71bffffffff,32.0,0.0,0.0
840c733ffffffff,33.0,0.0,0.0
840c739ffffffff,1.0,0.0,0.0
840c73bffffffff,34.0,0.0,0.0
840c73dffffffff,1.0,0.0,0.0
840c741ffffffff,4.0,0.0,0.0
840c74dffffffff,6.0,0.0,0.0
840c75dffffffff,1.0,0.0,0.0
840c769ffffffff,3.0,0.0,0.0
840d4d5ffffffff,1.0,0.0,0.0
840d537ffffffff,1.0,0.0,0.0
840d585ffffffff,3.0,0.0,0.0
840d58dffffffff,1.0,0.0,0.0
840d5a9ffffffff,118.0,0.0,0.0
840d5adffffffff,3.0,0.0,0.0
840d5e3ffffffff,2.0,0.0,0.0
840d5e5ffffffff,4.0,0.0,0.0
840d5e7ffffffff,4.0,0.0,0.0
840e491ffffffff,3.0,0.0,0.0
840e495ffffffff,3.0,0.0,0.0
840e497ffffffff,1.0,0.0,0.0
840e49bffffffff,11.0,0.0,0.0
840e4c5ffffffff,2.0,0.0,0.0
840e4cdffffffff,3.0,0.0,0.0
840e4d1ffffffff,2.0,0.0,0.0
840e4dbffffffff,10.0,0.0,0.0
840e5b3ffffffff,6.0,0.0,0.0
840e5b7ffffffff,2.0,0.0,0.0
840e63dffffffff,2.0,0.0,0.0
840e805ffffffff,8.0,0.0,0.0
840ec9bffffffff,1.0,0.0,0.0
840ec9dffffffff,8.0,0.0,0.0
840ed4dffffffff,1.0,0.0,0.0
840ed83ffffffff,1.0,0.0,0.0
840ed91ffffffff,1.0,0.0,0.0
8410ee1ffffffff,5.0,0.0,0.0
8411235ffffffff,1.0,0.0,0.0
841126dffffffff,3.0,0.0,0.0
84112e1ffffffff,2.0,2.0,0.0
8412147ffffffff,2.0,0.0,0.0
84121a7ffffffff,1.0,0.0,0.0
84121abffffffff,2.0,0.0,0.0
84121adffffffff,2.0,0.0,0.0
84121e3ffffffff,2.0,0.0,0.0
8412293ffffffff,2.0,0.0,0.0
8412299ffffffff,2.0,0.0,0.0
8412433ffffffff,4.0,0.0,0.0
84124e5ffffffff,2.0,0.0,0.0
84125d9ffffffff,12.0,0.0,0.0
84126e7ffffffff,1.0,0.0,0.0
8412853ffffffff,2.0,0.0,0.0
8412a2dffffffff,2.0,0.0,0.0
8412ad7ffffffff,10.0,0.0,0.0
8412c01ffffffff,19.0,0.0,0.0
8412c03ffffffff,4.0,0.0,0.0
8412c07ffffffff,2.0,0.0,0.0
8412c11ffffffff,4.0,0.0,0.0
8412c17ffffffff,2.0,0.0,0.0
8412c1bffffffff,11.0,0.0,0.0
8412c1dffffffff,1.0,0.0,0.0
