cell_id,Nystalus striolatus,Nystalus striolatus striolatus,Nystalus striolatus torridus
828047fffffffff,2.0,0.0,2.0
828067fffffffff,5.0,0.0,4.0
828077fffffffff,7.0,0.0,5.0
828147fffffffff,8.0,0.0,3.0
82814ffffffffff,154.0,0.0,105.0
82815ffffffffff,17.0,0.0,17.0
828a07fffffffff,8.0,5.0,0.0
828a17fffffffff,1.0,0.0,0.0
828a27fffffffff,7.0,4.0,0.0
828a37fffffffff,3.0,0.0,0.0
828a87fffffffff,1.0,0.0,0.0
828ab7fffffffff,4.0,0.0,4.0
828b07fffffffff,1.0,0.0,0.0
828b0ffffffffff,1.0,0.0,0.0
828b17fffffffff,2.0,2.0,0.0
828b57fffffffff,2.0,0.0,0.0
828b87fffffffff,14.0,3.0,10.0
828b8ffffffffff,5.0,0.0,4.0
828b9ffffffffff,314.0,6.0,51.0
828ba7fffffffff,11.0,0.0,0.0
