cell_id,Geranospiza caerulescens,Geranospiza caerulescens [nigra Group],Geranospiza caerulescens caerulescens,Geranospiza caerulescens gracilis/flexipes
834505fffffffff,3.0,0.0,0.0,0.0
834521fffffffff,20.0,0.0,0.0,0.0
834523fffffffff,4.0,0.0,0.0,0.0
834524fffffffff,7.0,0.0,0.0,0.0
834525fffffffff,1.0,0.0,0.0,0.0
834526fffffffff,2.0,2.0,0.0,0.0
83452afffffffff,7.0,0.0,0.0,0.0
83452efffffffff,7.0,0.0,0.0,0.0
834836fffffffff,2.0,0.0,0.0,0.0
8348b3fffffffff,4.0,0.0,0.0,0.0
8349aafffffffff,1.0,0.0,0.0,0.0
8349b5fffffffff,2.0,0.0,0.0,0.0
835f58fffffffff,15.0,0.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0,0.0
836610fffffffff,6.0,0.0,0.0,0.0
836611fffffffff,7.0,0.0,0.0,0.0
83661cfffffffff,5.0,0.0,0.0,0.0
836620fffffffff,4.0,0.0,0.0,0.0
83662bfffffffff,1.0,0.0,0.0,0.0
836641fffffffff,3.0,0.0,3.0,0.0
836648fffffffff,2.0,0.0,0.0,0.0
83665afffffffff,1.0,0.0,0.0,0.0
836674fffffffff,2.0,0.0,0.0,0.0
8366a0fffffffff,3.0,0.0,0.0,0.0
8366a5fffffffff,1.0,0.0,0.0,0.0
8366a6fffffffff,3.0,0.0,0.0,0.0
8366b0fffffffff,2.0,2.0,0.0,0.0
8366b4fffffffff,4.0,0.0,0.0,0.0
8366b5fffffffff,8.0,0.0,0.0,0.0
8366dcfffffffff,1.0,0.0,1.0,0.0
8366e3fffffffff,2.0,0.0,0.0,0.0
836755fffffffff,10.0,0.0,2.0,0.0
83675bfffffffff,3.0,0.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0,0.0
836d14fffffffff,3.0,0.0,0.0,0.0
836d15fffffffff,2.0,0.0,0.0,0.0
836d20fffffffff,4.0,0.0,0.0,0.0
836d2afffffffff,8.0,0.0,0.0,0.0
836d2bfffffffff,6.0,0.0,0.0,0.0
836d2cfffffffff,5.0,4.0,0.0,0.0
836d34fffffffff,2.0,0.0,0.0,0.0
836d60fffffffff,2.0,2.0,0.0,0.0
836d64fffffffff,27.0,0.0,0.0,0.0
836d69fffffffff,5.0,0.0,0.0,0.0
836d74fffffffff,12.0,0.0,0.0,0.0
836d75fffffffff,17.0,0.0,0.0,0.0
836d76fffffffff,10.0,0.0,0.0,0.0
838a45fffffffff,3.0,0.0,0.0,0.0
838f2afffffffff,5.0,0.0,0.0,0.0
838f40fffffffff,3.0,0.0,3.0,0.0
83a810fffffffff,1.0,0.0,0.0,1.0
83a961fffffffff,15.0,0.0,0.0,0.0
83a96cfffffffff,2.0,0.0,0.0,0.0
83b26dfffffffff,18.0,0.0,0.0,0.0
83b34bfffffffff,6.0,0.0,0.0,0.0
83c2c1fffffffff,15.0,0.0,0.0,0.0
83c2c4fffffffff,4.0,0.0,0.0,0.0
83c2c5fffffffff,18.0,0.0,0.0,0.0
83c2c8fffffffff,4.0,0.0,0.0,0.0
83c2cbfffffffff,4.0,0.0,0.0,0.0
83c2cdfffffffff,1.0,0.0,0.0,0.0
83c2cefffffffff,19.0,0.0,0.0,3.0
83c2e3fffffffff,2.0,0.0,0.0,0.0
83c2eafffffffff,2.0,0.0,0.0,0.0
83c2f1fffffffff,8.0,0.0,0.0,8.0
