cell_id,Dendrocygna autumnalis,Dendrocygna autumnalis fulgens,Dendrocygna autumnalis autumnalis
8418495ffffffff,5.0,0.0,0.0
841ea2bffffffff,2.0,0.0,0.0
8426027ffffffff,2.0,0.0,0.0
8426039ffffffff,4.0,0.0,0.0
8426051ffffffff,14.0,2.0,0.0
842608dffffffff,5.0,0.0,0.0
84260a1ffffffff,2.0,1.0,0.0
84260a9ffffffff,2.0,1.0,0.0
84260adffffffff,9.0,0.0,0.0
84260b3ffffffff,7.0,0.0,0.0
84260b9ffffffff,2.0,0.0,0.0
84260d9ffffffff,2.0,0.0,0.0
8426187ffffffff,8.0,0.0,0.0
8426191ffffffff,2.0,0.0,0.0
8426199ffffffff,2.0,0.0,0.0
842619dffffffff,2.0,1.0,0.0
84261dbffffffff,3.0,0.0,0.0
84261e7ffffffff,6.0,0.0,0.0
8426205ffffffff,4.0,0.0,0.0
8426217ffffffff,6.0,0.0,0.0
8426219ffffffff,2.0,0.0,0.0
8426283ffffffff,1.0,0.0,0.0
84262c5ffffffff,9.0,0.0,0.0
84262cdffffffff,7.0,0.0,0.0
84262d9ffffffff,8.0,0.0,0.0
8426319ffffffff,4.0,0.0,0.0
842634bffffffff,20.0,1.0,0.0
8426405ffffffff,40.0,1.0,0.0
842640dffffffff,9.0,0.0,0.0
8426413ffffffff,1.0,0.0,0.0
8426415ffffffff,15.0,0.0,0.0
842641dffffffff,4.0,0.0,0.0
8426433ffffffff,1.0,0.0,0.0
8426437ffffffff,4.0,0.0,0.0
8426439ffffffff,44.0,2.0,0.0
842643bffffffff,16.0,0.0,0.0
842644dffffffff,19.0,2.0,0.0
8426461ffffffff,9.0,0.0,0.0
8426463ffffffff,117.0,8.0,0.0
842646bffffffff,76.0,0.0,0.0
8426489ffffffff,4.0,0.0,0.0
8426493ffffffff,2.0,0.0,0.0
8426497ffffffff,9.0,0.0,0.0
842649bffffffff,1.0,0.0,0.0
842649dffffffff,1.0,0.0,0.0
84264a9ffffffff,4.0,0.0,0.0
84264bbffffffff,75.0,0.0,0.0
84264c1ffffffff,3.0,0.0,0.0
84264c5ffffffff,4.0,0.0,0.0
84264c7ffffffff,3.0,0.0,0.0
84264cbffffffff,6.0,0.0,0.0
84264d1ffffffff,8.0,0.0,0.0
84264d9ffffffff,4.0,0.0,0.0
84264dbffffffff,2.0,0.0,0.0
84264e5ffffffff,4.0,0.0,0.0
84264e7ffffffff,2.0,0.0,0.0
