cell_id,Hydrobates castro,Hydrobates castro castro,Hydrobates castro [undescribed form],Hydrobates castro bangsi
82264ffffffffff,12.0,0.0,0.0,0.0
82265ffffffffff,10.0,0.0,0.0,0.0
822837fffffffff,4.0,0.0,0.0,0.0
822a07fffffffff,677.0,0.0,0.0,0.0
822a17fffffffff,17.0,0.0,0.0,0.0
822a1ffffffffff,828.0,5.0,0.0,0.0
822a27fffffffff,2.0,0.0,0.0,0.0
822a2ffffffffff,4.0,0.0,0.0,0.0
822a37fffffffff,3.0,0.0,0.0,0.0
822aa7fffffffff,1.0,0.0,0.0,0.0
822aaffffffffff,4.0,0.0,0.0,0.0
822ac7fffffffff,21.0,5.0,2.0,0.0
822adffffffffff,2.0,0.0,0.0,0.0
822af7fffffffff,83.0,0.0,7.0,0.0
822b57fffffffff,1.0,0.0,0.0,0.0
822e07fffffffff,1.0,0.0,0.0,0.0
822e2ffffffffff,1.0,0.0,0.0,0.0
823427fffffffff,1.0,0.0,0.0,0.0
82346ffffffffff,8.0,3.0,2.0,0.0
82351ffffffffff,8.0,0.0,8.0,0.0
823927fffffffff,5.0,0.0,0.0,0.0
823937fffffffff,26.0,1.0,9.0,0.0
82440ffffffffff,10.0,0.0,0.0,0.0
824417fffffffff,24.0,0.0,0.0,0.0
82441ffffffffff,7.0,0.0,0.0,0.0
824447fffffffff,5.0,0.0,0.0,0.0
824457fffffffff,8.0,0.0,0.0,0.0
824467fffffffff,123.0,0.0,0.0,0.0
824477fffffffff,20.0,0.0,0.0,0.0
82448ffffffffff,34.0,0.0,6.0,0.0
8244affffffffff,227.0,6.0,20.0,0.0
8244d7fffffffff,36.0,0.0,0.0,0.0
8244f7fffffffff,4.0,0.0,0.0,0.0
82454ffffffffff,170.0,0.0,0.0,0.0
824647fffffffff,2.0,0.0,0.0,0.0
82464ffffffffff,14.0,0.0,0.0,0.0
82465ffffffffff,1.0,0.0,0.0,0.0
824897fffffffff,201.0,0.0,0.0,0.0
8248b7fffffffff,22.0,0.0,0.0,0.0
824997fffffffff,2.0,0.0,0.0,0.0
825537fffffffff,1.0,1.0,0.0,0.0
8255a7fffffffff,1.0,0.0,0.0,0.0
825d17fffffffff,351.0,0.0,0.0,0.0
825faffffffffff,1.0,0.0,0.0,0.0
826687fffffffff,1.0,0.0,0.0,0.0
82668ffffffffff,2.0,0.0,0.0,0.0
82669ffffffffff,6.0,0.0,0.0,0.0
8266a7fffffffff,3.0,0.0,0.0,0.0
8266affffffffff,1.0,0.0,0.0,0.0
8266d7fffffffff,3.0,0.0,0.0,0.0
826c5ffffffffff,88.0,0.0,0.0,59.0
826c67fffffffff,30.0,0.0,0.0,2.0
826d37fffffffff,2.0,0.0,0.0,0.0
826d4ffffffffff,9.0,0.0,0.0,0.0
826d6ffffffffff,1.0,0.0,0.0,0.0
827d87fffffffff,2.0,0.0,0.0,0.0
828f27fffffffff,1.0,0.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0,0.0
828fa7fffffffff,14.0,0.0,0.0,7.0
8298e7fffffffff,1.0,1.0,0.0,0.0
829e07fffffffff,1.0,0.0,0.0,0.0
82beaffffffffff,16.0,0.0,0.0,0.0
