cell_id,Bubo ascalaphus,Bubo ascalaphus ascalaphus,Bubo ascalaphus desertorum
822c97fffffffff,70.0,0.0,0.0
822db7fffffffff,3.0,2.0,0.0
823817fffffffff,3.0,0.0,3.0
82398ffffffffff,15.0,13.0,0.0
8243a7fffffffff,15.0,0.0,0.0
8243affffffffff,2.0,0.0,0.0
