cell_id,Anthus petrosus,Anthus petrosus petrosus/kleinschmidti,Anthus petrosus littoralis
84182d3ffffffff,13.0,3.0,0.0
84182d5ffffffff,1.0,0.0,0.0
84182d9ffffffff,7.0,0.0,0.0
84182dbffffffff,8.0,0.0,0.0
84182e5ffffffff,310.0,108.0,0.0
8418409ffffffff,2.0,0.0,0.0
8418443ffffffff,37.0,2.0,0.0
8418447ffffffff,10.0,2.0,0.0
8418451ffffffff,5.0,0.0,0.0
8418455ffffffff,7.0,0.0,0.0
8418457ffffffff,18.0,0.0,0.0
841845dffffffff,3.0,0.0,0.0
8418461ffffffff,8.0,0.0,0.0
8418469ffffffff,9.0,0.0,0.0
841846bffffffff,15.0,0.0,0.0
841846dffffffff,123.0,2.0,0.0
8418495ffffffff,7.0,0.0,0.0
84184b1ffffffff,3.0,0.0,0.0
84184b5ffffffff,7.0,0.0,0.0
8418597ffffffff,2.0,0.0,0.0
84185bbffffffff,8.0,0.0,0.0
8418607ffffffff,2.0,0.0,0.0
8418609ffffffff,3.0,0.0,0.0
841860dffffffff,14.0,0.0,0.0
8418623ffffffff,19.0,0.0,0.0
8418625ffffffff,9.0,0.0,0.0
8418627ffffffff,3.0,0.0,0.0
8418629ffffffff,78.0,25.0,0.0
841862bffffffff,18.0,0.0,0.0
841864bffffffff,2.0,0.0,0.0
841865dffffffff,1.0,0.0,0.0
8418661ffffffff,12.0,0.0,0.0
8418663ffffffff,4.0,0.0,0.0
8418667ffffffff,15.0,0.0,0.0
841866bffffffff,10.0,0.0,0.0
84186a1ffffffff,5.0,0.0,0.0
84186a5ffffffff,3.0,0.0,0.0
841870dffffffff,390.0,33.0,0.0
8418711ffffffff,6.0,0.0,0.0
8418717ffffffff,18.0,0.0,0.0
841871bffffffff,28.0,2.0,0.0
8418729ffffffff,192.0,73.0,0.0
841873bffffffff,130.0,17.0,0.0
8418741ffffffff,15.0,4.0,0.0
8418743ffffffff,6.0,0.0,0.0
8418745ffffffff,2.0,2.0,0.0
8418747ffffffff,38.0,2.0,0.0
8418749ffffffff,7.0,0.0,0.0
841875dffffffff,19.0,0.0,0.0
8418763ffffffff,14.0,5.0,0.0
841876bffffffff,76.0,3.0,0.0
8419013ffffffff,27.0,2.0,0.0
8419017ffffffff,2.0,0.0,0.0
841901bffffffff,19.0,0.0,0.0
8419053ffffffff,4.0,0.0,0.0
8419081ffffffff,19.0,2.0,0.0
8419083ffffffff,91.0,1.0,0.0
8419087ffffffff,78.0,2.0,0.0
8419089ffffffff,56.0,17.0,0.0
841908bffffffff,22.0,3.0,0.0
841908dffffffff,25.0,0.0,0.0
8419091ffffffff,7.0,0.0,0.0
8419093ffffffff,17.0,0.0,0.0
8419095ffffffff,2.0,0.0,0.0
8419097ffffffff,18.0,3.0,0.0
841909bffffffff,2.0,0.0,0.0
841909dffffffff,31.0,0.0,0.0
84190a9ffffffff,12.0,0.0,0.0
84190b1ffffffff,5.0,2.0,0.0
84190b3ffffffff,51.0,0.0,0.0
84190b9ffffffff,39.0,1.0,0.0
84190bbffffffff,26.0,4.0,0.0
84190bdffffffff,2.0,0.0,0.0
84190c1ffffffff,19.0,0.0,0.0
84190c3ffffffff,2.0,0.0,0.0
84190c5ffffffff,74.0,3.0,0.0
84190c7ffffffff,77.0,2.0,0.0
84190c9ffffffff,9.0,2.0,0.0
84190cbffffffff,2.0,0.0,0.0
84190cdffffffff,2.0,0.0,0.0
84190d5ffffffff,2.0,0.0,0.0
84190d9ffffffff,4.0,2.0,0.0
84190dbffffffff,2.0,0.0,0.0
84190ddffffffff,4.0,0.0,0.0
