cell_id,Dicrurus densus,Dicrurus densus vicinus,Dicrurus densus bimaensis,Dicrurus densus sumbae,Dicrurus densus densus,Dicrurus densus kuehni,Dicrurus densus megalornis
837290fffffffff,35.0,0.0,0.0,0.0,0.0,0.0,35.0
839404fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
839420fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
839421fffffffff,18.0,0.0,18.0,0.0,0.0,0.0,0.0
839423fffffffff,9.0,0.0,0.0,0.0,9.0,0.0,0.0
839426fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
839428fffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0
83942cfffffffff,47.0,0.0,0.0,0.0,47.0,0.0,0.0
83942dfffffffff,11.0,0.0,0.0,0.0,11.0,0.0,0.0
83942efffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
839460fffffffff,14.0,0.0,0.0,0.0,0.0,14.0,0.0
839518fffffffff,78.0,0.0,78.0,0.0,0.0,0.0,0.0
83951afffffffff,32.0,0.0,32.0,0.0,0.0,0.0,0.0
83951bfffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
83951efffffffff,116.0,0.0,116.0,0.0,0.0,0.0,0.0
839553fffffffff,23.0,0.0,0.0,0.0,23.0,0.0,0.0
8395a5fffffffff,10.0,10.0,0.0,0.0,0.0,0.0,0.0
8395a9fffffffff,34.0,0.0,0.0,34.0,0.0,0.0,0.0
8395adfffffffff,5.0,0.0,0.0,5.0,0.0,0.0,0.0
