cell_id,Dendrocopos leucotos,Dendrocopos leucotos lilfordi,Dendrocopos leucotos [leucotos Group],Dendrocopos leucotos owstoni
830899fffffffff,1.0,0.0,1.0,0.0
83089afffffffff,1.0,0.0,1.0,0.0
83098afffffffff,1.0,0.0,0.0,0.0
831105fffffffff,2.0,0.0,2.0,0.0
831124fffffffff,1.0,0.0,0.0,0.0
831181fffffffff,16.0,0.0,16.0,0.0
83118cfffffffff,6.0,0.0,6.0,0.0
83118efffffffff,10.0,0.0,10.0,0.0
8311aafffffffff,6.0,0.0,6.0,0.0
8311abfffffffff,13.0,0.0,13.0,0.0
8311aefffffffff,25.0,0.0,25.0,0.0
831849fffffffff,98.0,73.0,0.0,0.0
831e00fffffffff,1.0,0.0,1.0,0.0
831e03fffffffff,4.0,0.0,0.0,0.0
831e04fffffffff,35.0,0.0,0.0,0.0
831e05fffffffff,18.0,0.0,0.0,0.0
831e1afffffffff,5.0,0.0,0.0,0.0
831e2bfffffffff,1.0,0.0,1.0,0.0
831e32fffffffff,1.0,0.0,0.0,0.0
831e80fffffffff,2.0,1.0,0.0,0.0
831e81fffffffff,5.0,5.0,0.0,0.0
831eacfffffffff,3.0,3.0,0.0,0.0
831ec0fffffffff,3.0,0.0,0.0,0.0
831ec2fffffffff,1.0,0.0,0.0,0.0
831ec4fffffffff,2.0,0.0,0.0,0.0
831ec9fffffffff,5.0,0.0,0.0,0.0
831ecafffffffff,3.0,0.0,0.0,0.0
831ecbfffffffff,2.0,0.0,0.0,0.0
831ecdfffffffff,7.0,0.0,0.0,0.0
831ee2fffffffff,4.0,0.0,4.0,0.0
831ef0fffffffff,2.0,2.0,0.0,0.0
831f5afffffffff,2.0,0.0,0.0,0.0
831f5efffffffff,1.0,0.0,1.0,0.0
831f60fffffffff,3.0,0.0,3.0,0.0
831f88fffffffff,2.0,0.0,0.0,0.0
831f8efffffffff,1.0,0.0,0.0,0.0
832045fffffffff,1.0,0.0,0.0,0.0
83204afffffffff,2.0,0.0,2.0,0.0
83255afffffffff,2.0,0.0,0.0,0.0
832c21fffffffff,2.0,0.0,0.0,0.0
832e13fffffffff,3.0,0.0,3.0,0.0
832e75fffffffff,1.0,0.0,1.0,0.0
832eadfffffffff,4.0,0.0,3.0,0.0
8330e1fffffffff,8.0,0.0,0.0,0.0
833185fffffffff,23.0,0.0,0.0,0.0
8331a8fffffffff,6.0,0.0,0.0,0.0
833f68fffffffff,4.0,2.0,0.0,0.0
834b0bfffffffff,2.0,0.0,0.0,2.0
834b56fffffffff,18.0,0.0,0.0,18.0
834ba0fffffffff,2.0,0.0,0.0,0.0
834ba2fffffffff,12.0,0.0,0.0,0.0
