cell_id,Coracias caudatus,Coracias caudatus lorti,Coracias caudatus caudatus
827a47fffffffff,4.0,0.0,2.0
827a4ffffffffff,4.0,0.0,0.0
827a67fffffffff,3.0,0.0,1.0
827a6ffffffffff,54.0,0.0,47.0
827a77fffffffff,1.0,0.0,0.0
827b4ffffffffff,106.0,0.0,0.0
827b5ffffffffff,4.0,4.0,0.0
829697fffffffff,2.0,0.0,0.0
82972ffffffffff,4.0,0.0,4.0
82974ffffffffff,2.0,0.0,2.0
829757fffffffff,2.0,0.0,2.0
82ac87fffffffff,6.0,0.0,4.0
82ac97fffffffff,4.0,0.0,1.0
82aca7fffffffff,1.0,0.0,1.0
82acb7fffffffff,1.0,0.0,1.0
82bcd7fffffffff,12.0,0.0,0.0
82bcdffffffffff,5.0,0.0,0.0
82bcf7fffffffff,1.0,0.0,0.0
