cell_id,Myrmotherula ignota,Myrmotherula ignota ignota,Myrmotherula ignota obscura
836610fffffffff,275.0,31.0,0.0
836611fffffffff,10.0,0.0,0.0
836612fffffffff,4.0,0.0,0.0
836613fffffffff,214.0,16.0,0.0
836616fffffffff,128.0,6.0,0.0
836619fffffffff,22.0,0.0,0.0
83661afffffffff,25.0,2.0,0.0
83661dfffffffff,2.0,0.0,0.0
83661efffffffff,6.0,0.0,0.0
836641fffffffff,14.0,0.0,0.0
83665afffffffff,163.0,0.0,4.0
83665bfffffffff,46.0,0.0,4.0
8366a5fffffffff,1391.0,154.0,0.0
8366c0fffffffff,6.0,0.0,0.0
8366c2fffffffff,204.0,0.0,0.0
8366c3fffffffff,6.0,0.0,2.0
8366c5fffffffff,6.0,0.0,0.0
8366cefffffffff,10.0,0.0,0.0
8366d0fffffffff,64.0,6.0,0.0
8366d1fffffffff,78.0,0.0,0.0
8366d2fffffffff,25.0,4.0,0.0
8366d3fffffffff,29.0,4.0,0.0
8366d5fffffffff,13.0,0.0,0.0
8366d8fffffffff,47.0,0.0,11.0
8366dafffffffff,12.0,0.0,0.0
8366dbfffffffff,6.0,0.0,0.0
8366dcfffffffff,251.0,0.0,51.0
8366ddfffffffff,24.0,0.0,5.0
8366defffffffff,82.0,0.0,17.0
8366e5fffffffff,2.0,0.0,0.0
8366e8fffffffff,3.0,0.0,0.0
8366e9fffffffff,2.0,0.0,0.0
8366ecfffffffff,7.0,0.0,0.0
8366eefffffffff,55.0,0.0,0.0
8366f0fffffffff,190.0,9.0,0.0
838a45fffffffff,45.0,0.0,0.0
838a63fffffffff,3.0,0.0,0.0
838a68fffffffff,1.0,0.0,0.0
838a69fffffffff,55.0,0.0,3.0
838a6dfffffffff,29.0,0.0,0.0
838b69fffffffff,5.0,0.0,0.0
838f43fffffffff,1.0,0.0,0.0
838f44fffffffff,10.0,0.0,0.0
838f4afffffffff,7.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0
838f4efffffffff,1.0,0.0,0.0
838f61fffffffff,25.0,0.0,0.0
838f6efffffffff,11.0,0.0,0.0
838f73fffffffff,1.0,0.0,0.0
838f74fffffffff,8.0,0.0,0.0
