cell_id,Amblycercus holosericeus,Amblycercus holosericeus holosericeus/flavirostris,Amblycercus holosericeus australis
834424fffffffff,48.0,0.0,0.0
834501fffffffff,328.0,7.0,0.0
834505fffffffff,311.0,0.0,0.0
834508fffffffff,587.0,52.0,0.0
834509fffffffff,428.0,120.0,0.0
83450afffffffff,970.0,42.0,0.0
83450bfffffffff,268.0,19.0,0.0
83450cfffffffff,140.0,17.0,0.0
83450dfffffffff,175.0,86.0,0.0
83450efffffffff,619.0,30.0,0.0
834520fffffffff,367.0,3.0,0.0
834521fffffffff,2052.0,2.0,0.0
834522fffffffff,336.0,0.0,0.0
834523fffffffff,949.0,0.0,0.0
834524fffffffff,249.0,0.0,0.0
834525fffffffff,105.0,9.0,0.0
834526fffffffff,506.0,0.0,0.0
834528fffffffff,525.0,9.0,0.0
834529fffffffff,35.0,2.0,0.0
83452afffffffff,2196.0,9.0,0.0
83452bfffffffff,163.0,21.0,0.0
83452cfffffffff,1388.0,75.0,0.0
83452dfffffffff,386.0,103.0,0.0
83452efffffffff,5585.0,3.0,0.0
834530fffffffff,24.0,0.0,0.0
834531fffffffff,6.0,0.0,0.0
834532fffffffff,81.0,0.0,0.0
834534fffffffff,80.0,0.0,0.0
834535fffffffff,74.0,0.0,0.0
834536fffffffff,46.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0
834572fffffffff,76.0,31.0,0.0
834576fffffffff,30.0,0.0,0.0
834990fffffffff,1.0,0.0,0.0
834991fffffffff,3.0,0.0,0.0
834992fffffffff,8.0,8.0,0.0
834993fffffffff,2.0,2.0,0.0
834996fffffffff,176.0,33.0,0.0
834998fffffffff,60.0,0.0,0.0
83499cfffffffff,8.0,0.0,0.0
83499efffffffff,6.0,0.0,0.0
836608fffffffff,15.0,0.0,0.0
83660bfffffffff,7.0,0.0,0.0
83660cfffffffff,13.0,0.0,0.0
83660dfffffffff,6.0,0.0,0.0
836610fffffffff,19.0,2.0,0.0
836612fffffffff,6.0,0.0,0.0
836613fffffffff,67.0,6.0,0.0
836616fffffffff,38.0,0.0,0.0
836618fffffffff,3.0,0.0,0.0
836619fffffffff,20.0,0.0,0.0
83661afffffffff,3.0,0.0,0.0
83661bfffffffff,33.0,0.0,0.0
83661cfffffffff,2.0,0.0,0.0
836620fffffffff,111.0,0.0,15.0
836621fffffffff,134.0,0.0,0.0
836622fffffffff,5.0,0.0,0.0
836623fffffffff,7.0,0.0,0.0
836629fffffffff,1.0,0.0,1.0
83662bfffffffff,12.0,0.0,2.0
836631fffffffff,1.0,0.0,0.0
8366a0fffffffff,203.0,0.0,0.0
8366a1fffffffff,1.0,0.0,0.0
8366a2fffffffff,5.0,0.0,0.0
8366a3fffffffff,12.0,3.0,0.0
8366a5fffffffff,620.0,32.0,0.0
8366b0fffffffff,389.0,0.0,0.0
8366b1fffffffff,3.0,0.0,0.0
8366b4fffffffff,920.0,0.0,0.0
8366b5fffffffff,769.0,8.0,0.0
8366b6fffffffff,4.0,0.0,0.0
8366c0fffffffff,2.0,0.0,0.0
8366c6fffffffff,12.0,0.0,0.0
8366d0fffffffff,8.0,0.0,0.0
8366d1fffffffff,4.0,0.0,0.0
8366d2fffffffff,2.0,0.0,0.0
8366d3fffffffff,27.0,0.0,0.0
8366dafffffffff,5.0,0.0,0.0
8366defffffffff,162.0,0.0,12.0
8366e0fffffffff,81.0,0.0,0.0
8366e4fffffffff,84.0,0.0,0.0
8366e5fffffffff,23.0,0.0,0.0
8366e6fffffffff,959.0,3.0,12.0
8366f0fffffffff,10.0,0.0,0.0
8366f1fffffffff,5.0,0.0,0.0
8366f5fffffffff,66.0,0.0,0.0
836741fffffffff,2.0,0.0,0.0
83674efffffffff,46.0,0.0,0.0
836790fffffffff,1.0,0.0,0.0
836792fffffffff,5.0,0.0,0.0
836793fffffffff,11.0,0.0,0.0
836794fffffffff,12.0,0.0,0.0
836796fffffffff,78.0,0.0,0.0
83679afffffffff,441.0,0.0,0.0
83679bfffffffff,71.0,0.0,0.0
8367b2fffffffff,2.0,0.0,0.0
836d04fffffffff,10.0,1.0,0.0
836d05fffffffff,198.0,64.0,0.0
836d20fffffffff,21.0,0.0,0.0
836d21fffffffff,115.0,30.0,0.0
836d22fffffffff,44.0,4.0,0.0
836d23fffffffff,267.0,76.0,0.0
836d24fffffffff,9.0,0.0,0.0
836d25fffffffff,31.0,8.0,0.0
836d28fffffffff,298.0,0.0,0.0
836d29fffffffff,325.0,21.0,0.0
836d2afffffffff,24.0,0.0,0.0
836d2bfffffffff,1179.0,1.0,0.0
836d2cfffffffff,636.0,116.0,0.0
836d2dfffffffff,1993.0,1029.0,0.0
836d2efffffffff,6.0,0.0,0.0
836d30fffffffff,229.0,27.0,0.0
836d31fffffffff,60.0,20.0,0.0
836d34fffffffff,108.0,16.0,0.0
836d35fffffffff,1117.0,9.0,0.0
836d36fffffffff,10.0,0.0,0.0
836d60fffffffff,70.0,0.0,0.0
836d61fffffffff,402.0,0.0,0.0
836d63fffffffff,1.0,0.0,0.0
836d64fffffffff,971.0,0.0,0.0
836d65fffffffff,64.0,0.0,0.0
836d66fffffffff,144.0,0.0,0.0
836d68fffffffff,49.0,0.0,0.0
836d69fffffffff,2085.0,0.0,0.0
836d6bfffffffff,869.0,0.0,0.0
836d6cfffffffff,3.0,0.0,0.0
836d6dfffffffff,500.0,0.0,0.0
836d6efffffffff,4.0,0.0,0.0
836d74fffffffff,145.0,0.0,0.0
836d75fffffffff,36.0,0.0,0.0
836d76fffffffff,19.0,0.0,0.0
838b21fffffffff,3.0,0.0,0.0
838b2cfffffffff,15.0,0.0,0.0
838b60fffffffff,2.0,0.0,0.0
838b61fffffffff,63.0,0.0,0.0
838b63fffffffff,5.0,0.0,0.0
838b6cfffffffff,58.0,0.0,0.0
838e64fffffffff,8.0,0.0,0.0
838e65fffffffff,6.0,0.0,0.0
