cell_id,Aulacorhynchus albivitta,Aulacorhynchus albivitta lautus,Aulacorhynchus albivitta griseigularis,Aulacorhynchus albivitta albivitta/phaeolaemus,Aulacorhynchus albivitta cyanolaemus,Aulacorhynchus albivitta atrogularis/dimidiatus
846608dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84660b9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84660bdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84660ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466183ffffffff,12.0,0.0,0.0,12.0,0.0,0.0
84661b1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84661b7ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
84661bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466217ffffffff,5.0,0.0,0.0,5.0,0.0,0.0
846622bffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8466c0dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466c2dffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8466c61ffffffff,3.0,0.0,0.0,3.0,0.0,0.0
8466de1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466e61ffffffff,4.0,0.0,0.0,4.0,0.0,0.0
8466e65ffffffff,3.0,0.0,0.0,3.0,0.0,0.0
8466e67ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8466e69ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8466e6dffffffff,7.0,0.0,5.0,0.0,0.0,0.0
8466f1dffffffff,5.0,0.0,2.0,0.0,0.0,0.0
84675e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
848b617ffffffff,15.0,0.0,0.0,0.0,0.0,15.0
848b637ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
848b63bffffffff,5.0,0.0,0.0,0.0,0.0,5.0
848b6edffffffff,1.0,0.0,0.0,0.0,0.0,1.0
848e64bffffffff,1.0,0.0,0.0,0.0,0.0,1.0
848e651ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
848e6c9ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
848f2d3ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
848f559ffffffff,3.0,0.0,0.0,0.0,3.0,0.0
848f733ffffffff,8.0,0.0,0.0,0.0,8.0,0.0
