cell_id,Rallus obsoletus,Rallus obsoletus obsoletus,Rallus obsoletus levipes,Rallus obsoletus beldingi,Rallus obsoletus yumanensis
8428301ffffffff,17.0,3.0,0.0,0.0,0.0
8428309ffffffff,100.0,29.0,0.0,0.0,0.0
842830bffffffff,10.0,6.0,0.0,0.0,0.0
8428347ffffffff,2.0,0.0,0.0,0.0,0.0
8429125ffffffff,20.0,0.0,15.0,0.0,0.0
8429127ffffffff,3.0,0.0,0.0,0.0,0.0
8429809ffffffff,3.0,0.0,0.0,0.0,0.0
842981dffffffff,1.0,0.0,0.0,0.0,0.0
8429861ffffffff,4.0,0.0,0.0,0.0,0.0
8429865ffffffff,2.0,0.0,0.0,0.0,0.0
8429869ffffffff,48.0,0.0,0.0,0.0,16.0
842986bffffffff,3.0,0.0,0.0,0.0,0.0
8429a19ffffffff,23.0,0.0,0.0,0.0,0.0
8429a41ffffffff,61.0,0.0,7.0,0.0,0.0
8429a47ffffffff,5.0,0.0,1.0,0.0,0.0
8429a4dffffffff,15.0,0.0,7.0,0.0,0.0
8429a55ffffffff,62.0,0.0,6.0,0.0,0.0
8429a57ffffffff,5.0,0.0,2.0,0.0,0.0
8429a61ffffffff,46.0,0.0,0.0,0.0,4.0
8429a6dffffffff,85.0,0.0,0.0,0.0,36.0
8429b09ffffffff,2.0,0.0,0.0,0.0,0.0
8429b0bffffffff,9.0,0.0,0.0,0.0,3.0
8429b1dffffffff,4.0,0.0,0.0,0.0,2.0
8429b55ffffffff,9.0,0.0,0.0,0.0,2.0
8429b5dffffffff,7.0,0.0,0.0,0.0,3.0
8429b69ffffffff,7.0,0.0,0.0,0.0,7.0
84480ddffffffff,1.0,0.0,0.0,0.0,0.0
84482adffffffff,2.0,0.0,0.0,2.0,0.0
84484a5ffffffff,13.0,0.0,9.0,0.0,0.0
84485b5ffffffff,8.0,0.0,0.0,0.0,6.0
84485b7ffffffff,4.0,0.0,0.0,0.0,3.0
84485b9ffffffff,3.0,0.0,0.0,0.0,3.0
8448707ffffffff,1.0,0.0,0.0,0.0,0.0
8448733ffffffff,1.0,0.0,0.0,0.0,0.0
8448e93ffffffff,124.0,0.0,0.0,0.0,59.0
8448e97ffffffff,116.0,0.0,0.0,0.0,61.0
8448e9bffffffff,4.0,0.0,0.0,0.0,0.0
8448eb9ffffffff,20.0,0.0,0.0,0.0,2.0
8449a2bffffffff,1.0,0.0,0.0,0.0,0.0
8449a8dffffffff,5.0,0.0,0.0,0.0,0.0
