cell_id,Tympanuchus cupido,Tympanuchus cupido pinnatus,Tympanuchus cupido cupido,Tympanuchus cupido attwateri
832600fffffffff,2.0,0.0,0.0,0.0
832601fffffffff,27.0,0.0,0.0,0.0
832603fffffffff,6.0,0.0,0.0,0.0
832606fffffffff,4.0,0.0,0.0,0.0
832609fffffffff,111.0,0.0,0.0,0.0
83260afffffffff,8.0,0.0,0.0,0.0
832613fffffffff,10.0,0.0,0.0,0.0
832615fffffffff,6.0,0.0,0.0,0.0
832618fffffffff,18.0,0.0,0.0,0.0
83261bfffffffff,4.0,0.0,0.0,0.0
83261cfffffffff,1.0,0.0,0.0,0.0
83261dfffffffff,2.0,0.0,0.0,0.0
832626fffffffff,2.0,0.0,0.0,0.0
832650fffffffff,23.0,0.0,0.0,0.0
832651fffffffff,1.0,0.0,0.0,0.0
832652fffffffff,129.0,0.0,0.0,0.0
832653fffffffff,27.0,0.0,0.0,0.0
83268dfffffffff,3.0,0.0,0.0,0.0
8326a8fffffffff,6.0,0.0,0.0,0.0
8326a9fffffffff,90.0,4.0,0.0,0.0
8326aafffffffff,3.0,0.0,0.0,0.0
8326abfffffffff,12.0,0.0,0.0,0.0
8326acfffffffff,6.0,0.0,0.0,0.0
8326adfffffffff,1.0,0.0,0.0,0.0
8326e0fffffffff,1.0,0.0,0.0,0.0
8326e1fffffffff,5.0,0.0,0.0,0.0
8326e2fffffffff,15.0,0.0,0.0,0.0
8326e3fffffffff,6.0,0.0,0.0,0.0
8326e4fffffffff,6.0,2.0,0.0,0.0
8326e5fffffffff,5.0,2.0,0.0,0.0
8326e6fffffffff,9.0,0.0,0.0,0.0
8326ecfffffffff,13.0,0.0,0.0,0.0
8326eefffffffff,1.0,0.0,0.0,0.0
8326f0fffffffff,4.0,0.0,0.0,0.0
8326f4fffffffff,1.0,0.0,0.0,0.0
8326f5fffffffff,4.0,0.0,0.0,0.0
8326f6fffffffff,12.0,0.0,0.0,0.0
83271cfffffffff,2.0,0.0,0.0,0.0
83274cfffffffff,2.0,0.0,0.0,0.0
832751fffffffff,94.0,4.0,0.0,0.0
83275cfffffffff,88.0,2.0,0.0,0.0
83276cfffffffff,2.0,0.0,0.0,0.0
83446cfffffffff,9.0,0.0,0.0,4.0
834890fffffffff,3.0,0.0,0.0,1.0
834891fffffffff,4.0,0.0,0.0,1.0
834893fffffffff,9.0,0.0,0.0,7.0
