cell_id,Zosterops fuscicapilla,Zosterops fuscicapilla fuscicapilla,Zosterops fuscicapilla crookshanki
8472883ffffffff,1.0,0.0,0.0
8472895ffffffff,11.0,0.0,0.0
84728b9ffffffff,25.0,0.0,0.0
84728bbffffffff,3.0,0.0,0.0
84728e1ffffffff,1.0,0.0,0.0
84728e7ffffffff,1.0,0.0,0.0
84728edffffffff,1.0,0.0,0.0
8472a23ffffffff,2.0,0.0,0.0
8472a2bffffffff,322.0,24.0,0.0
8472d23ffffffff,45.0,0.0,0.0
8472d51ffffffff,1.0,0.0,0.0
849cb51ffffffff,2.0,0.0,0.0
849cb59ffffffff,1.0,0.0,0.0
849cd25ffffffff,4.0,0.0,0.0
849cd2dffffffff,43.0,0.0,0.0
849cd33ffffffff,2.0,0.0,0.0
