cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
840c2a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c2dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c425ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c42dffffffff,627.0,0.0,0.0,0.0,0.0,0.0
840c441ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c461ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c465ffffffff,33.0,0.0,0.0,0.0,0.0,0.0
840c46dffffffff,16.0,0.0,0.0,0.0,0.0,0.0
840c503ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c511ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c51dffffffff,37.0,0.0,0.0,0.0,0.0,0.0
840c54bffffffff,21.0,0.0,0.0,0.0,0.0,0.0
840c551ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
840c555ffffffff,66.0,0.0,0.0,0.0,0.0,0.0
840c55bffffffff,26.0,0.0,0.0,0.0,0.0,0.0
840c55dffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840c617ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c621ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c623ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c625ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c629ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840c639ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c63bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c641ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c645ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
840c64dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c65dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c663ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c665ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c701ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c705ffffffff,36.0,2.0,0.0,0.0,0.0,0.0
840c707ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840c70dffffffff,14.0,0.0,0.0,0.0,0.0,0.0
840c711ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c715ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
840c717ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840c71bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c731ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
840c733ffffffff,1317.0,0.0,0.0,0.0,0.0,0.0
840c735ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
840c737ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840c739ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840c73bffffffff,567.0,0.0,0.0,0.0,0.0,0.0
840c73dffffffff,256.0,15.0,0.0,0.0,0.0,0.0
840c741ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840c745ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c747ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840c74dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c769ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d483ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840d48bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d499ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d49bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840d4a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d4e7ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840d585ffffffff,30.0,0.0,0.0,0.0,0.0,0.0
840d58dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840d595ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840d5a9ffffffff,343.0,0.0,0.0,0.0,0.0,0.0
840d5adffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840d5b9ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840d5e5ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840d5e7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840d683ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e45bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840e481ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e487ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e491ffffffff,37.0,0.0,0.0,0.0,0.0,0.0
840e493ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
840e495ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e497ffffffff,138.0,0.0,0.0,0.0,0.0,0.0
840e499ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
840e49bffffffff,69.0,0.0,0.0,0.0,0.0,0.0
840e4abffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e4b1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840e4b3ffffffff,37.0,0.0,0.0,0.0,0.0,0.0
840e4c5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840e4cdffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840e4d1ffffffff,69.0,0.0,0.0,0.0,0.0,0.0
840e4d3ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
840e4dbffffffff,543.0,0.0,0.0,0.0,0.0,0.0
840e51dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e523ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e53dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e5b3ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
840e691ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840e805ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
840e807ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840e891ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840e911ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e9a1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840e9a7ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
840ec29ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840ec2dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840ec31ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ec81ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840ec83ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ec85ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840ec8dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840ec91ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
840ec95ffffffff,84.0,0.0,0.0,0.0,0.0,0.0
840ec97ffffffff,29.0,0.0,0.0,0.0,0.0,0.0
840ec99ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840ec9bffffffff,12.0,5.0,0.0,0.0,0.0,0.0
840ec9dffffffff,30.0,4.0,0.0,0.0,0.0,0.0
840eca3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840eca5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840eca7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840ecabffffffff,9.0,0.0,0.0,0.0,0.0,0.0
840ecb3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ecb9ffffffff,132.0,0.0,0.0,0.0,0.0,0.0
840ecbdffffffff,40.0,0.0,0.0,0.0,0.0,0.0
840ecc1ffffffff,116.0,5.0,0.0,0.0,0.0,0.0
840ecc7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ecc9ffffffff,149.0,0.0,0.0,0.0,0.0,0.0
840ecd7ffffffff,15.0,9.0,0.0,0.0,0.0,0.0
840ed1dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ed85ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840ed91ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
840ed95ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ed97ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840edb9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840ede1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840ede7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ee87ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840eea7ffffffff,472.0,0.0,0.0,0.0,0.0,0.0
840eeb5ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840eeb9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840eebdffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840eed1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84120a1ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84120a5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84120b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84120b7ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8412115ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412147ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412151ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412159ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841215dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
