cell_id,Dicrurus sharpei,Dicrurus sharpei occidentalis,Dicrurus sharpei sharpei
825447fffffffff,2.0,2.0,0.0
825457fffffffff,1.0,1.0,0.0
8254cffffffffff,1.0,1.0,0.0
8254e7fffffffff,16.0,16.0,0.0
8254effffffffff,18.0,17.0,0.0
8254f7fffffffff,59.0,59.0,0.0
825887fffffffff,5.0,1.0,4.0
825897fffffffff,11.0,10.0,0.0
8258a7fffffffff,5.0,4.0,0.0
8258b7fffffffff,2.0,2.0,0.0
8258cffffffffff,12.0,0.0,12.0
8258d7fffffffff,5.0,0.0,5.0
8258e7fffffffff,6.0,0.0,6.0
8258f7fffffffff,3.0,1.0,2.0
82599ffffffffff,1.0,1.0,0.0
826ac7fffffffff,4.0,0.0,4.0
827507fffffffff,1.0,1.0,0.0
82750ffffffffff,5.0,5.0,0.0
827517fffffffff,1.0,1.0,0.0
827527fffffffff,78.0,78.0,0.0
82752ffffffffff,12.0,12.0,0.0
8275a7fffffffff,4.0,4.0,0.0
8275affffffffff,1.0,1.0,0.0
8275b7fffffffff,1.0,1.0,0.0
827a4ffffffffff,458.0,0.0,446.0
82828ffffffffff,4.0,0.0,4.0
8282a7fffffffff,3.0,0.0,3.0
8282affffffffff,6.0,0.0,6.0
8282d7fffffffff,1.0,0.0,1.0
828317fffffffff,2.0,0.0,2.0
828337fffffffff,2.0,0.0,2.0
828387fffffffff,1.0,0.0,1.0
8283a7fffffffff,5.0,0.0,5.0
8283affffffffff,3.0,0.0,3.0
