cell_id,Cistothorus palustris,Cistothorus palustris [paludicola Group],Cistothorus palustris [plesius Group],Cistothorus palustris [palustris Group],Cistothorus palustris griseus,Cistothorus palustris tolucensis
8412151ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841215dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412181ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8412185ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412187ffffffff,62.0,0.0,0.0,0.0,0.0,0.0
841218dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
841219bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84121a7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84121abffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84121bbffffffff,15.0,0.0,0.0,0.0,0.0,0.0
84121bdffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84121e3ffffffff,142.0,0.0,0.0,0.0,0.0,0.0
8412299ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84124b3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84124b5ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
84124b7ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
8412501ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412503ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8412505ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412507ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412511ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8412515ffffffff,141.0,0.0,0.0,0.0,0.0,0.0
841251dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412523ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412525ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8412527ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8412533ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412535ffffffff,41.0,0.0,0.0,0.0,0.0,0.0
8412539ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
841253bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
841253dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412549ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
841254bffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8412581ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412583ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
841258bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412591ffffffff,39.0,0.0,0.0,0.0,0.0,0.0
8412593ffffffff,31.0,0.0,0.0,0.0,0.0,0.0
8412597ffffffff,84.0,0.0,0.0,0.0,0.0,0.0
8412599ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841259dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84125b9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84125bbffffffff,17.0,0.0,0.0,0.0,0.0,0.0
84125d1ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84125d3ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84125d7ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
84125d9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84125dbffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8412721ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8412723ffffffff,101.0,0.0,0.0,0.0,0.0,0.0
8412727ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412729ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412881ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412887ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8412891ffffffff,61.0,0.0,0.0,0.0,0.0,0.0
8412893ffffffff,32.0,0.0,0.0,0.0,0.0,0.0
8412895ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
8412897ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8412899ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
841289bffffffff,59.0,0.0,0.0,0.0,0.0,0.0
84128abffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84128bdffffffff,22.0,0.0,0.0,0.0,0.0,0.0
84128d3ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
84128d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84128dbffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84128ddffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84128e3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412a87ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
