cell_id,Aplonis tabuensis,Aplonis tabuensis [tabuensis Group],Aplonis tabuensis manuae
849a021ffffffff,22.0,0.0,0.0
849a02dffffffff,28.0,0.0,0.0
849a0ddffffffff,3.0,0.0,0.0
849a141ffffffff,15.0,0.0,0.0
849a151ffffffff,71.0,0.0,0.0
849a223ffffffff,1.0,0.0,0.0
849a2b7ffffffff,4.0,0.0,0.0
849a74dffffffff,3.0,0.0,0.0
849b01bffffffff,1.0,0.0,0.0
849b0c9ffffffff,1.0,0.0,0.0
849b0cdffffffff,10.0,0.0,0.0
849b0e3ffffffff,1.0,0.0,0.0
849b0e7ffffffff,1.0,0.0,0.0
849b19bffffffff,10.0,0.0,0.0
849b41bffffffff,7.0,0.0,0.0
849b41dffffffff,2.0,0.0,0.0
849b437ffffffff,19.0,0.0,0.0
849b45bffffffff,4.0,0.0,0.0
849b4cbffffffff,5.0,0.0,0.0
849b4cdffffffff,7.0,0.0,0.0
849b4e5ffffffff,1.0,0.0,0.0
849b5c9ffffffff,2.0,0.0,0.0
849b5cbffffffff,15.0,0.0,0.0
849b5cdffffffff,1.0,0.0,0.0
849b5d9ffffffff,3.0,0.0,0.0
849b5ddffffffff,3.0,0.0,0.0
849b6a7ffffffff,10.0,0.0,0.0
849b6adffffffff,11.0,0.0,0.0
849b6b5ffffffff,11.0,0.0,0.0
849b6b7ffffffff,1.0,0.0,0.0
849b6e7ffffffff,14.0,0.0,0.0
849b731ffffffff,1.0,0.0,0.0
849b733ffffffff,2.0,0.0,0.0
849b897ffffffff,10.0,0.0,0.0
849bac3ffffffff,3.0,0.0,0.0
849baddffffffff,4.0,0.0,0.0
