cell_id,Sayornis nigricans,Sayornis nigricans [nigricans Group],Sayornis nigricans latirostris/angustirostris
830d5bfffffffff,2.0,0.0,0.0
8312d1fffffffff,2.0,0.0,0.0
8312dcfffffffff,10.0,0.0,0.0
832680fffffffff,2.0,0.0,0.0
832681fffffffff,100.0,0.0,0.0
832682fffffffff,3.0,0.0,0.0
832683fffffffff,15.0,0.0,0.0
832685fffffffff,24.0,0.0,0.0
832688fffffffff,51.0,0.0,0.0
832689fffffffff,6.0,0.0,0.0
83268afffffffff,15.0,0.0,0.0
83268bfffffffff,2.0,0.0,0.0
83268cfffffffff,86.0,0.0,0.0
83268dfffffffff,13.0,0.0,0.0
83268efffffffff,1.0,0.0,0.0
832690fffffffff,50.0,0.0,0.0
832691fffffffff,64.0,8.0,0.0
832692fffffffff,1.0,0.0,0.0
832694fffffffff,14.0,2.0,0.0
832695fffffffff,2.0,0.0,0.0
832696fffffffff,39.0,2.0,0.0
832698fffffffff,38.0,5.0,0.0
832699fffffffff,20.0,0.0,0.0
83269afffffffff,5.0,0.0,0.0
83269bfffffffff,4.0,0.0,0.0
83269cfffffffff,155.0,2.0,0.0
83269dfffffffff,68.0,0.0,0.0
83269efffffffff,72.0,0.0,0.0
8326aafffffffff,14.0,0.0,0.0
8326d2fffffffff,6.0,0.0,0.0
8326d3fffffffff,4.0,0.0,0.0
8326d4fffffffff,11.0,0.0,0.0
8326d6fffffffff,2.0,0.0,0.0
8326d8fffffffff,1.0,0.0,0.0
8326dbfffffffff,2.0,0.0,0.0
8326defffffffff,28.0,0.0,0.0
8326f2fffffffff,17.0,0.0,0.0
832800fffffffff,7.0,0.0,0.0
832802fffffffff,9.0,0.0,0.0
832806fffffffff,1.0,1.0,0.0
832810fffffffff,24.0,0.0,0.0
832812fffffffff,55.0,0.0,0.0
832813fffffffff,44.0,0.0,0.0
832815fffffffff,13.0,0.0,0.0
832818fffffffff,10.0,0.0,0.0
832819fffffffff,4.0,0.0,0.0
83281afffffffff,5.0,0.0,0.0
83281efffffffff,45.0,0.0,0.0
832830fffffffff,1196.0,20.0,0.0
832831fffffffff,3.0,0.0,0.0
832832fffffffff,12.0,0.0,0.0
832833fffffffff,23.0,0.0,0.0
832834fffffffff,65.0,5.0,0.0
832835fffffffff,158.0,2.0,0.0
832836fffffffff,5829.0,1.0,0.0
832888fffffffff,3.0,0.0,0.0
832889fffffffff,9.0,0.0,0.0
8328a1fffffffff,4.0,0.0,0.0
8328a3fffffffff,1.0,0.0,0.0
8328a9fffffffff,72.0,0.0,0.0
8328acfffffffff,3.0,0.0,0.0
8328adfffffffff,15.0,0.0,0.0
8328aefffffffff,34.0,0.0,0.0
8328b6fffffffff,1.0,0.0,0.0
8328c6fffffffff,95.0,2.0,0.0
8328d0fffffffff,33.0,2.0,0.0
8328d1fffffffff,950.0,20.0,0.0
8328d3fffffffff,27.0,0.0,0.0
8328d5fffffffff,461.0,2.0,0.0
8328dcfffffffff,2.0,0.0,0.0
8328defffffffff,103.0,0.0,0.0
8328f0fffffffff,267.0,3.0,0.0
8328f1fffffffff,142.0,0.0,0.0
8328f2fffffffff,3.0,1.0,0.0
8328f3fffffffff,70.0,2.0,0.0
8328f4fffffffff,6.0,0.0,0.0
8328f5fffffffff,20.0,0.0,0.0
8328f6fffffffff,16.0,0.0,0.0
832912fffffffff,16.0,1.0,0.0
83291afffffffff,1.0,0.0,0.0
83298cfffffffff,14.0,0.0,0.0
83298dfffffffff,10.0,0.0,0.0
832990fffffffff,2.0,1.0,0.0
832991fffffffff,2.0,0.0,0.0
832992fffffffff,13.0,0.0,0.0
832993fffffffff,2.0,0.0,0.0
832995fffffffff,16.0,0.0,0.0
832996fffffffff,1.0,0.0,0.0
8329a0fffffffff,123.0,0.0,0.0
8329a1fffffffff,10.0,3.0,0.0
8329a4fffffffff,68.0,17.0,0.0
8329a5fffffffff,11.0,1.0,0.0
8329a6fffffffff,208.0,12.0,0.0
8329a8fffffffff,2.0,0.0,0.0
8329a9fffffffff,23.0,4.0,0.0
8329abfffffffff,1.0,1.0,0.0
8329acfffffffff,1.0,1.0,0.0
8329adfffffffff,12.0,2.0,0.0
8329aefffffffff,2.0,0.0,0.0
8329b0fffffffff,4.0,4.0,0.0
8329b2fffffffff,1.0,0.0,0.0
8329b5fffffffff,72.0,12.0,0.0
8329b6fffffffff,4.0,1.0,0.0
832a16fffffffff,36.0,4.0,0.0
83446cfffffffff,2.0,0.0,0.0
83446dfffffffff,18.0,4.0,0.0
834523fffffffff,4.0,0.0,0.0
834525fffffffff,6.0,0.0,0.0
83452afffffffff,2.0,0.0,0.0
83452dfffffffff,24.0,0.0,0.0
83452efffffffff,12.0,3.0,0.0
834809fffffffff,2.0,2.0,0.0
83480afffffffff,1.0,1.0,0.0
