cell_id,Microspingus torquatus,Microspingus torquatus torquatus,Microspingus torquatus pectoralis
838b20fffffffff,392.0,19.0,5.0
838b21fffffffff,38.0,2.0,0.0
838b24fffffffff,19.0,0.0,0.0
838b25fffffffff,82.0,9.0,0.0
838b2cfffffffff,209.0,9.0,0.0
838b2dfffffffff,7.0,0.0,0.0
83a865fffffffff,28.0,0.0,0.0
83a86dfffffffff,2.0,0.0,0.0
83a949fffffffff,1.0,0.0,0.0
83a969fffffffff,2.0,0.0,0.0
83b209fffffffff,8.0,0.0,0.0
83b20bfffffffff,4.0,0.0,0.0
83b20dfffffffff,2.0,0.0,0.0
83b22dfffffffff,6.0,0.0,0.0
83b240fffffffff,27.0,0.0,0.0
83b241fffffffff,165.0,0.0,0.0
83b242fffffffff,31.0,0.0,0.0
83b243fffffffff,76.0,0.0,0.0
83b244fffffffff,8.0,0.0,0.0
83b245fffffffff,19.0,0.0,0.0
83b246fffffffff,107.0,0.0,0.0
83b24afffffffff,11.0,0.0,0.0
83b24cfffffffff,66.0,0.0,0.0
83b24dfffffffff,2.0,0.0,0.0
83b24efffffffff,7.0,0.0,0.0
83b250fffffffff,3.0,0.0,0.0
83b251fffffffff,130.0,0.0,0.0
83b252fffffffff,1.0,0.0,0.0
83b253fffffffff,3.0,0.0,0.0
83b254fffffffff,14.0,0.0,0.0
83b255fffffffff,10.0,0.0,0.0
83b256fffffffff,1.0,0.0,0.0
83b258fffffffff,68.0,0.0,0.0
83b259fffffffff,38.0,0.0,0.0
83b25afffffffff,7.0,0.0,0.0
83b25bfffffffff,4.0,0.0,0.0
83b25cfffffffff,57.0,0.0,0.0
83b25dfffffffff,78.0,0.0,0.0
83b25efffffffff,122.0,0.0,0.0
83b261fffffffff,3.0,0.0,0.0
83b262fffffffff,104.0,0.0,0.0
83b263fffffffff,16.0,0.0,0.0
83b266fffffffff,33.0,0.0,0.0
83b26afffffffff,29.0,0.0,0.0
83b270fffffffff,19.0,0.0,0.0
83b271fffffffff,14.0,0.0,0.0
83b272fffffffff,13.0,0.0,0.0
83b274fffffffff,4.0,0.0,0.0
83b275fffffffff,142.0,0.0,0.0
83b276fffffffff,5.0,0.0,0.0
83b2cdfffffffff,1.0,0.0,0.0
83b2e1fffffffff,4.0,0.0,0.0
83b2e8fffffffff,84.0,0.0,0.0
83b2e9fffffffff,136.0,0.0,0.0
83b2eafffffffff,11.0,0.0,0.0
83b2ebfffffffff,56.0,0.0,0.0
83b2ecfffffffff,54.0,0.0,0.0
83b2edfffffffff,25.0,0.0,0.0
83b2eefffffffff,52.0,0.0,0.0
83b32cfffffffff,2.0,0.0,0.0
83b32dfffffffff,28.0,0.0,0.0
83b342fffffffff,14.0,0.0,0.0
83b343fffffffff,9.0,0.0,0.0
83b348fffffffff,3.0,0.0,0.0
83b349fffffffff,2.0,0.0,0.0
83b34afffffffff,4.0,0.0,0.0
83b34bfffffffff,37.0,0.0,0.0
83b34cfffffffff,12.0,0.0,0.0
83b34dfffffffff,33.0,0.0,0.0
83b351fffffffff,2.0,0.0,0.0
83b358fffffffff,21.0,0.0,0.0
83b35afffffffff,271.0,0.0,0.0
83b35bfffffffff,9.0,0.0,0.0
83b35cfffffffff,1.0,0.0,0.0
83b35dfffffffff,8.0,0.0,0.0
83b35efffffffff,108.0,0.0,0.0
83b360fffffffff,1.0,0.0,0.0
83b361fffffffff,18.0,0.0,0.0
83b362fffffffff,7.0,0.0,0.0
83b366fffffffff,6.0,0.0,0.0
83b368fffffffff,4.0,0.0,0.0
83b369fffffffff,2.0,0.0,0.0
83b36afffffffff,2.0,0.0,0.0
83b36dfffffffff,37.0,0.0,0.0
83c308fffffffff,2.0,0.0,0.0
83c30bfffffffff,2.0,0.0,0.0
83c329fffffffff,52.0,0.0,6.0
83c32bfffffffff,3.0,0.0,0.0
83c340fffffffff,66.0,0.0,0.0
83c344fffffffff,3.0,0.0,0.0
83c345fffffffff,10.0,0.0,0.0
83c346fffffffff,12.0,0.0,0.0
83c34bfffffffff,3.0,0.0,0.0
83c34cfffffffff,4.0,0.0,0.0
83c34efffffffff,1.0,0.0,0.0
83c350fffffffff,11.0,0.0,3.0
83c354fffffffff,16.0,0.0,0.0
83c355fffffffff,2.0,0.0,0.0
83c356fffffffff,30.0,0.0,0.0
83c360fffffffff,19.0,0.0,0.0
83c362fffffffff,2.0,0.0,0.0
83c363fffffffff,2.0,0.0,0.0
83c366fffffffff,8.0,0.0,0.0
83c368fffffffff,3.0,0.0,0.0
83c36afffffffff,10.0,0.0,0.0
83c36bfffffffff,4.0,0.0,0.0
83c36cfffffffff,9.0,0.0,0.0
83c36dfffffffff,14.0,0.0,0.0
83c36efffffffff,8.0,0.0,0.0
83c370fffffffff,2.0,0.0,0.0
83c371fffffffff,23.0,0.0,0.0
83c372fffffffff,11.0,0.0,0.0
83c373fffffffff,21.0,0.0,0.0
83c375fffffffff,1.0,0.0,0.0
83c376fffffffff,15.0,0.0,3.0
