cell_id,Tchagra senegalus,Tchagra senegalus cucullatus,Tchagra senegalus [senegalus Group]
843862bffffffff,1.0,0.0,0.0
8438667ffffffff,3.0,0.0,0.0
843875bffffffff,5.0,0.0,0.0
84391abffffffff,6.0,0.0,0.0
8452065ffffffff,2.0,0.0,0.0
8452d4dffffffff,2.0,0.0,0.0
8454e13ffffffff,3.0,0.0,0.0
8454ea9ffffffff,2.0,0.0,0.0
8454eadffffffff,2.0,0.0,0.0
8454ee3ffffffff,4.0,0.0,0.0
847a41dffffffff,4.0,0.0,0.0
847a459ffffffff,3.0,0.0,0.0
847a45dffffffff,1.0,0.0,0.0
847a609ffffffff,2.0,0.0,0.0
847a643ffffffff,4.0,0.0,0.0
847a683ffffffff,1.0,0.0,0.0
847a6e5ffffffff,2.0,0.0,0.0
847a6e7ffffffff,4.0,0.0,4.0
8497119ffffffff,1.0,0.0,1.0
84bcd29ffffffff,2.0,0.0,2.0
84bcd63ffffffff,1.0,0.0,1.0
84bcd67ffffffff,1.0,0.0,1.0
