cell_id,Passerculus sandwichensis,Passerculus sandwichensis [sandwichensis Group],Passerculus sandwichensis princeps,Passerculus sandwichensis [guttatus Group],Passerculus sandwichensis sanctorum,Passerculus sandwichensis rostratus/atratus
8402417ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8402ca5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8402cadffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8402d63ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8402ddbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c015ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c021ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c033ffffffff,43.0,0.0,0.0,0.0,0.0,0.0
840c037ffffffff,43.0,0.0,0.0,0.0,0.0,0.0
840c03bffffffff,104.0,0.0,0.0,0.0,0.0,0.0
840c04bffffffff,25.0,0.0,0.0,0.0,0.0,0.0
840c051ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840c061ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
840c063ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c067ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c0b1ffffffff,40.0,0.0,0.0,0.0,0.0,0.0
840c0b3ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840c141ffffffff,368.0,0.0,0.0,0.0,0.0,0.0
840c143ffffffff,2454.0,0.0,0.0,0.0,0.0,0.0
840c145ffffffff,637.0,0.0,0.0,0.0,0.0,0.0
840c147ffffffff,1818.0,0.0,0.0,0.0,0.0,0.0
840c149ffffffff,609.0,0.0,0.0,0.0,0.0,0.0
840c14bffffffff,119.0,0.0,0.0,0.0,0.0,0.0
840c14dffffffff,93.0,0.0,0.0,0.0,0.0,0.0
840c15dffffffff,106.0,0.0,0.0,0.0,0.0,0.0
840c1b1ffffffff,46.0,2.0,0.0,0.0,0.0,0.0
840c1b5ffffffff,3.0,2.0,0.0,0.0,0.0,0.0
840c1e1ffffffff,280.0,0.0,0.0,0.0,0.0,0.0
840c213ffffffff,27.0,0.0,0.0,0.0,0.0,0.0
840c217ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840c231ffffffff,46.0,0.0,0.0,0.0,0.0,0.0
840c241ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
840c251ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840c267ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c297ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c29bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c2a9ffffffff,26.0,0.0,0.0,0.0,0.0,0.0
840c2cdffffffff,58.0,0.0,0.0,0.0,0.0,0.0
