cell_id,Phapitreron leucotis,Phapitreron leucotis leucotis,Phapitreron leucotis nigrorum,Phapitreron leucotis brevirostris/occipitalis
8468449ffffffff,1.0,0.0,1.0,0.0
846846dffffffff,2.0,1.0,1.0,0.0
84684e5ffffffff,5.0,0.0,0.0,5.0
846858bffffffff,2.0,0.0,0.0,2.0
84685d1ffffffff,2.0,0.0,0.0,2.0
8468621ffffffff,4.0,0.0,4.0,0.0
84694e1ffffffff,2.0,2.0,0.0,0.0
84694edffffffff,1.0,1.0,0.0,0.0
