cell_id,Pardalotus striatus,Pardalotus striatus [melanocephalus Group],Pardalotus striatus ornatus,Pardalotus striatus striatus,Pardalotus striatus substriatus
82941ffffffffff,77.0,3.0,0.0,0.0,0.0
829447fffffffff,1.0,1.0,0.0,0.0,0.0
82944ffffffffff,1.0,0.0,0.0,0.0,0.0
829457fffffffff,1042.0,152.0,0.0,0.0,0.0
82945ffffffffff,280.0,66.0,0.0,0.0,0.0
829487fffffffff,485.0,221.0,0.0,0.0,0.0
82948ffffffffff,50.0,5.0,0.0,0.0,0.0
829497fffffffff,4.0,0.0,0.0,0.0,0.0
8294affffffffff,33.0,6.0,0.0,0.0,0.0
8294c7fffffffff,27.0,0.0,0.0,0.0,0.0
8294cffffffffff,9.0,0.0,0.0,0.0,0.0
8294d7fffffffff,6.0,0.0,0.0,0.0,0.0
8294e7fffffffff,179.0,15.0,0.0,0.0,0.0
8294effffffffff,654.0,144.0,0.0,0.0,0.0
8294f7fffffffff,281.0,16.0,0.0,0.0,0.0
829c07fffffffff,159.0,10.0,0.0,0.0,0.0
829c0ffffffffff,146.0,43.0,0.0,0.0,0.0
829c1ffffffffff,19.0,7.0,0.0,0.0,0.0
829c27fffffffff,1238.0,35.0,0.0,0.0,0.0
829c2ffffffffff,224.0,15.0,0.0,0.0,0.0
829c47fffffffff,47.0,2.0,0.0,0.0,0.0
829c4ffffffffff,36.0,9.0,0.0,0.0,0.0
829c5ffffffffff,39.0,2.0,0.0,0.0,0.0
829c67fffffffff,40.0,4.0,0.0,0.0,0.0
829c6ffffffffff,5.0,0.0,0.0,0.0,0.0
829c77fffffffff,18.0,0.0,0.0,0.0,0.0
829ce7fffffffff,14.0,0.0,0.0,0.0,0.0
829ceffffffffff,39.0,0.0,0.0,0.0,0.0
829d07fffffffff,49.0,1.0,0.0,0.0,0.0
829d0ffffffffff,290.0,19.0,0.0,0.0,0.0
829d27fffffffff,544.0,31.0,0.0,0.0,2.0
829d2ffffffffff,151.0,15.0,0.0,0.0,0.0
829d4ffffffffff,153.0,9.0,0.0,0.0,2.0
829d57fffffffff,61.0,2.0,0.0,0.0,0.0
829d5ffffffffff,8.0,0.0,0.0,0.0,0.0
829d67fffffffff,5.0,0.0,0.0,0.0,0.0
829d77fffffffff,50.0,0.0,0.0,0.0,0.0
82a607fffffffff,6.0,0.0,0.0,0.0,4.0
82a617fffffffff,8.0,0.0,0.0,0.0,6.0
82a637fffffffff,3.0,0.0,0.0,0.0,0.0
82a6a7fffffffff,3.0,0.0,0.0,0.0,0.0
82a707fffffffff,66.0,0.0,0.0,0.0,6.0
82a717fffffffff,22.0,0.0,0.0,0.0,0.0
82a71ffffffffff,22.0,0.0,0.0,0.0,5.0
82a727fffffffff,1374.0,0.0,0.0,0.0,218.0
82a737fffffffff,426.0,0.0,0.0,0.0,65.0
82a787fffffffff,8.0,0.0,0.0,0.0,0.0
82a78ffffffffff,25.0,0.0,0.0,0.0,0.0
82a797fffffffff,2.0,0.0,0.0,0.0,0.0
82a79ffffffffff,27.0,0.0,0.0,0.0,0.0
82a7affffffffff,2.0,0.0,0.0,0.0,2.0
82b827fffffffff,2.0,0.0,0.0,0.0,1.0
82b82ffffffffff,15.0,0.0,0.0,0.0,1.0
82b837fffffffff,24.0,0.0,0.0,0.0,4.0
82b847fffffffff,98.0,0.0,0.0,0.0,33.0
82b84ffffffffff,4.0,0.0,0.0,0.0,2.0
82b857fffffffff,5.0,0.0,0.0,0.0,5.0
82b85ffffffffff,10.0,0.0,0.0,0.0,0.0
82b867fffffffff,32.0,0.0,0.0,0.0,8.0
82b86ffffffffff,121.0,0.0,0.0,0.0,37.0
82b877fffffffff,4.0,0.0,0.0,0.0,0.0
82b887fffffffff,115.0,0.0,0.0,0.0,1.0
82b88ffffffffff,1.0,1.0,0.0,0.0,0.0
82b89ffffffffff,9.0,0.0,0.0,0.0,0.0
82b8a7fffffffff,6.0,0.0,0.0,0.0,0.0
82b8affffffffff,5.0,0.0,0.0,0.0,0.0
82b8b7fffffffff,1.0,0.0,0.0,0.0,0.0
82b917fffffffff,1168.0,0.0,0.0,0.0,24.0
82b91ffffffffff,16.0,0.0,0.0,0.0,3.0
82b937fffffffff,1.0,0.0,0.0,0.0,0.0
82b987fffffffff,95.0,0.0,0.0,0.0,30.0
82b98ffffffffff,1.0,0.0,0.0,0.0,0.0
82b997fffffffff,3.0,0.0,0.0,0.0,0.0
82b9a7fffffffff,709.0,0.0,0.0,0.0,104.0
82b9affffffffff,229.0,0.0,0.0,0.0,56.0
82b9b7fffffffff,45.0,0.0,0.0,0.0,6.0
82be0ffffffffff,2613.0,0.0,114.0,0.0,11.0
82be1ffffffffff,752.0,2.0,20.0,0.0,0.0
82be2ffffffffff,13.0,0.0,0.0,0.0,0.0
82be47fffffffff,4829.0,0.0,46.0,0.0,471.0
82be4ffffffffff,3008.0,0.0,0.0,0.0,262.0
82be57fffffffff,1306.0,0.0,16.0,0.0,27.0
82be5ffffffffff,195.0,0.0,0.0,0.0,16.0
82be67fffffffff,4698.0,0.0,310.0,0.0,54.0
82be6ffffffffff,921.0,0.0,10.0,0.0,30.0
82be77fffffffff,6425.0,0.0,100.0,0.0,39.0
82be8ffffffffff,15443.0,388.0,0.0,0.0,0.0
82beaffffffffff,1370.0,35.0,0.0,0.0,0.0
82bec7fffffffff,166.0,0.0,0.0,0.0,9.0
82becffffffffff,154.0,0.0,0.0,0.0,17.0
82bed7fffffffff,304.0,9.0,0.0,0.0,0.0
82bedffffffffff,158.0,1.0,0.0,0.0,3.0
82bee7fffffffff,704.0,0.0,8.0,0.0,4.0
82beeffffffffff,149.0,0.0,0.0,0.0,7.0
82bef7fffffffff,4062.0,40.0,7.0,0.0,13.0
82bf4ffffffffff,2408.0,0.0,0.0,497.0,0.0
82bf5ffffffffff,6.0,0.0,0.0,0.0,0.0
82bf6ffffffffff,510.0,0.0,0.0,143.0,0.0
82c987fffffffff,385.0,0.0,0.0,0.0,194.0
82c997fffffffff,2660.0,0.0,0.0,0.0,487.0
82c99ffffffffff,158.0,0.0,0.0,0.0,32.0
82c9b7fffffffff,356.0,0.0,0.0,0.0,82.0
82d897fffffffff,50.0,0.0,0.0,13.0,0.0
82d8b7fffffffff,11.0,0.0,0.0,0.0,0.0
