cell_id,Crypturellus obsoletus,Crypturellus obsoletus castaneus,Crypturellus obsoletus [obsoletus Group]
8266dffffffffff,7.0,0.0,0.0
8266e7fffffffff,6.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0
82674ffffffffff,1.0,0.0,0.0
82675ffffffffff,3.0,0.0,0.0
828a27fffffffff,2.0,0.0,0.0
828b27fffffffff,7.0,0.0,5.0
828b67fffffffff,5.0,0.0,5.0
828b6ffffffffff,12.0,0.0,0.0
828b87fffffffff,2.0,0.0,0.0
828b8ffffffffff,1.0,0.0,0.0
828b9ffffffffff,5.0,0.0,0.0
828e67fffffffff,3.0,0.0,1.0
828e6ffffffffff,2.0,0.0,0.0
828f4ffffffffff,30.0,0.0,0.0
828f77fffffffff,8.0,6.0,0.0
82a837fffffffff,2.0,0.0,2.0
82a887fffffffff,1.0,0.0,1.0
82a90ffffffffff,3.0,0.0,0.0
82a91ffffffffff,3.0,0.0,0.0
82a92ffffffffff,162.0,0.0,0.0
82a947fffffffff,1.0,0.0,0.0
82a957fffffffff,2.0,0.0,0.0
82a977fffffffff,2.0,0.0,0.0
