cell_id,Apteryx australis,Apteryx australis australis,Apteryx australis lawryi
83bb2bfffffffff,3.0,2.0,0.0
83da83fffffffff,3.0,0.0,0.0
83da84fffffffff,5.0,3.0,0.0
83da8cfffffffff,3.0,0.0,0.0
83da8efffffffff,4.0,2.0,0.0
83daaafffffffff,33.0,0.0,20.0
