cell_id,Eudynamys orientalis,Eudynamys orientalis [orientalis Group],Eudynamys orientalis cyanocephalus/subcyanocephalus
83728efffffffff,7.0,6.0,0.0
837290fffffffff,5.0,0.0,0.0
83729dfffffffff,3.0,1.0,0.0
8372a0fffffffff,2.0,0.0,0.0
8372a2fffffffff,114.0,25.0,0.0
8372d2fffffffff,43.0,2.0,2.0
8372d5fffffffff,1.0,0.0,0.0
8372d9fffffffff,4.0,0.0,0.0
8372dbfffffffff,33.0,0.0,0.0
8372f2fffffffff,20.0,4.0,0.0
8372f3fffffffff,1.0,1.0,0.0
83739afffffffff,9.0,0.0,0.0
83739bfffffffff,26.0,2.0,0.0
837699fffffffff,6.0,0.0,0.0
83769dfffffffff,2.0,0.0,0.0
83779afffffffff,1.0,1.0,0.0
839404fffffffff,1.0,0.0,0.0
839415fffffffff,2.0,0.0,2.0
83941bfffffffff,20.0,0.0,2.0
839421fffffffff,12.0,0.0,0.0
839423fffffffff,8.0,0.0,0.0
83942cfffffffff,15.0,7.0,0.0
83942dfffffffff,18.0,3.0,0.0
839431fffffffff,1.0,0.0,0.0
839450fffffffff,79.0,0.0,18.0
839451fffffffff,483.0,0.0,78.0
839453fffffffff,51.0,0.0,12.0
839455fffffffff,3.0,0.0,0.0
839458fffffffff,2.0,0.0,2.0
83945afffffffff,46.0,0.0,15.0
83945cfffffffff,124.0,0.0,30.0
83945efffffffff,30.0,0.0,11.0
839460fffffffff,14.0,0.0,0.0
839466fffffffff,6.0,0.0,0.0
839489fffffffff,2.0,0.0,0.0
83948dfffffffff,2.0,0.0,0.0
8394c4fffffffff,2.0,0.0,2.0
8394c6fffffffff,1.0,0.0,0.0
8394c9fffffffff,1.0,0.0,0.0
8394d4fffffffff,2.0,0.0,2.0
8394d5fffffffff,2.0,0.0,0.0
8394e2fffffffff,8.0,0.0,0.0
8394e3fffffffff,54.0,0.0,2.0
8394e8fffffffff,18.0,0.0,11.0
8394e9fffffffff,3.0,0.0,3.0
8394edfffffffff,268.0,0.0,107.0
8394eefffffffff,23.0,0.0,8.0
8394f4fffffffff,4.0,0.0,2.0
8394f6fffffffff,7.0,0.0,0.0
839544fffffffff,22.0,4.0,0.0
839545fffffffff,3.0,0.0,0.0
839553fffffffff,32.0,3.0,0.0
83955afffffffff,3.0,0.0,0.0
83956afffffffff,21.0,0.0,0.0
83956bfffffffff,86.0,9.0,0.0
83956dfffffffff,5.0,0.0,0.0
8395a9fffffffff,19.0,0.0,0.0
8395adfffffffff,3.0,0.0,0.0
839c00fffffffff,13.0,0.0,6.0
839c01fffffffff,34.0,0.0,16.0
839c05fffffffff,405.0,0.0,177.0
839c0afffffffff,2.0,0.0,2.0
839c0efffffffff,77.0,0.0,38.0
839c19fffffffff,80.0,0.0,25.0
839c20fffffffff,23.0,0.0,3.0
839c21fffffffff,47.0,0.0,10.0
839c23fffffffff,903.0,0.0,353.0
839c25fffffffff,49.0,0.0,13.0
839c2cfffffffff,6.0,0.0,0.0
839c2dfffffffff,36.0,0.0,8.0
839c2efffffffff,8.0,0.0,4.0
839c41fffffffff,7.0,0.0,5.0
839c49fffffffff,4.0,0.0,2.0
839c4afffffffff,3.0,0.0,0.0
839c4bfffffffff,14.0,0.0,3.0
839c4dfffffffff,3.0,0.0,0.0
839c4efffffffff,2.0,0.0,2.0
839c58fffffffff,9.0,0.0,1.0
839c5afffffffff,12.0,0.0,2.0
839c5bfffffffff,4.0,0.0,0.0
839c60fffffffff,7.0,0.0,5.0
839c64fffffffff,1.0,0.0,1.0
