cell_id,Poephila cincta,Poephila cincta atropygialis,Poephila cincta cincta
839c00fffffffff,3.0,0.0,0.0
839c01fffffffff,72.0,21.0,0.0
839c03fffffffff,1.0,0.0,0.0
839c05fffffffff,72.0,6.0,0.0
839c09fffffffff,3.0,0.0,0.0
839c0afffffffff,3.0,0.0,0.0
839c0bfffffffff,1.0,0.0,0.0
839c0cfffffffff,2.0,0.0,0.0
839c0dfffffffff,2.0,0.0,0.0
839c0efffffffff,86.0,21.0,0.0
839c23fffffffff,115.0,23.0,0.0
839c2cfffffffff,39.0,0.0,0.0
839c2dfffffffff,137.0,21.0,0.0
839c2efffffffff,2.0,0.0,0.0
839c74fffffffff,1.0,0.0,0.0
839ce6fffffffff,2.0,2.0,0.0
839d0bfffffffff,56.0,0.0,0.0
839d56fffffffff,1.0,0.0,0.0
839d5afffffffff,5.0,0.0,0.0
