cell_id,Iodopleura pipra,Iodopleura pipra leucopygia,Iodopleura pipra pipra
8481303ffffffff,16.0,0.0,0.0
8481307ffffffff,4.0,0.0,0.0
8481331ffffffff,2.0,0.0,0.0
8481339ffffffff,54.0,0.0,2.0
8481343ffffffff,2.0,0.0,0.0
8481363ffffffff,35.0,0.0,1.0
84a8109ffffffff,6.0,0.0,0.0
84a8125ffffffff,14.0,0.0,0.0
84a812dffffffff,76.0,0.0,0.0
84a8143ffffffff,12.0,0.0,0.0
84a8155ffffffff,98.0,0.0,10.0
84a8157ffffffff,90.0,0.0,9.0
84a815dffffffff,1.0,0.0,0.0
84a8317ffffffff,3.0,0.0,0.0
84a8333ffffffff,3.0,0.0,0.0
84a8919ffffffff,6.0,0.0,0.0
84a8a19ffffffff,70.0,0.0,10.0
84a8a1dffffffff,16.0,0.0,0.0
84a8a53ffffffff,276.0,0.0,37.0
