cell_id,Actinodura ramsayi,Actinodura ramsayi radcliffei/yunnanensis,Actinodura ramsayi ramsayi
834029fffffffff,2.0,0.0,0.0
83402dfffffffff,1.0,0.0,0.0
834148fffffffff,1.0,0.0,0.0
834149fffffffff,2.0,0.0,0.0
83414cfffffffff,73.0,0.0,0.0
834158fffffffff,2.0,0.0,0.0
834159fffffffff,10.0,0.0,0.0
83415afffffffff,18.0,0.0,0.0
83415bfffffffff,1.0,0.0,0.0
836482fffffffff,406.0,0.0,23.0
836491fffffffff,790.0,0.0,50.0
836494fffffffff,3.0,0.0,0.0
836495fffffffff,1.0,0.0,0.0
836498fffffffff,83.0,10.0,0.0
83649bfffffffff,6.0,0.0,0.0
