cell_id,Petroica pusilla,Petroica pusilla [similis Group],Petroica pusilla pusilla
849a021ffffffff,3.0,0.0,0.0
849a02dffffffff,20.0,0.0,0.0
849a151ffffffff,20.0,0.0,0.0
849b41bffffffff,38.0,0.0,0.0
849b437ffffffff,16.0,0.0,0.0
849b4c1ffffffff,3.0,0.0,0.0
849b4c9ffffffff,3.0,0.0,0.0
849b4cbffffffff,15.0,0.0,0.0
849b4cdffffffff,4.0,0.0,0.0
849b4e5ffffffff,6.0,0.0,0.0
849b5d9ffffffff,6.0,0.0,0.0
849b6a3ffffffff,3.0,0.0,0.0
849b6a7ffffffff,31.0,0.0,0.0
849b6adffffffff,1.0,0.0,0.0
849b6b5ffffffff,34.0,0.0,0.0
849b6b7ffffffff,1.0,0.0,0.0
849b6e7ffffffff,1.0,0.0,0.0
849e021ffffffff,1.0,0.0,0.0
849e025ffffffff,1.0,0.0,0.0
849e027ffffffff,10.0,0.0,0.0
849e067ffffffff,8.0,0.0,0.0
849e103ffffffff,4.0,0.0,0.0
849e13dffffffff,3.0,0.0,0.0
849e245ffffffff,38.0,0.0,0.0
849e31bffffffff,6.0,0.0,0.0
