cell_id,Schiffornis veraepacis,Schiffornis veraepacis [veraepacis Group],Schiffornis veraepacis rosenbergi
8445019ffffffff,7.0,0.0,0.0
8445053ffffffff,4.0,0.0,0.0
844505bffffffff,15.0,0.0,0.0
8445085ffffffff,2.0,0.0,0.0
844508dffffffff,11.0,0.0,0.0
84450c1ffffffff,3.0,0.0,0.0
84450c5ffffffff,15.0,0.0,0.0
84450c7ffffffff,6.0,0.0,0.0
84450e3ffffffff,3.0,0.0,0.0
84450ebffffffff,11.0,0.0,0.0
8445203ffffffff,7.0,0.0,0.0
8445207ffffffff,4.0,4.0,0.0
844520bffffffff,20.0,6.0,0.0
8445211ffffffff,13.0,0.0,0.0
8445213ffffffff,4.0,0.0,0.0
8445215ffffffff,557.0,3.0,0.0
8445217ffffffff,96.0,0.0,0.0
844521dffffffff,102.0,7.0,0.0
8445221ffffffff,59.0,6.0,0.0
8445225ffffffff,69.0,6.0,0.0
8445233ffffffff,1155.0,23.0,0.0
844523bffffffff,93.0,0.0,0.0
8445257ffffffff,9.0,0.0,0.0
8445281ffffffff,23.0,0.0,0.0
8445285ffffffff,49.0,12.0,0.0
8445287ffffffff,1.0,0.0,0.0
8445289ffffffff,504.0,11.0,0.0
844528dffffffff,178.0,11.0,0.0
84452a1ffffffff,9.0,0.0,0.0
84452a3ffffffff,6.0,1.0,0.0
84452a5ffffffff,107.0,0.0,0.0
84452a9ffffffff,702.0,108.0,0.0
84452abffffffff,91.0,5.0,0.0
84452adffffffff,136.0,9.0,0.0
84452b5ffffffff,10.0,0.0,0.0
84452bdffffffff,30.0,0.0,0.0
84452c1ffffffff,2.0,0.0,0.0
84452c3ffffffff,444.0,84.0,0.0
84452c5ffffffff,68.0,0.0,0.0
84452c7ffffffff,88.0,8.0,0.0
84452c9ffffffff,17.0,3.0,0.0
84452cbffffffff,2.0,0.0,0.0
84452d5ffffffff,6.0,0.0,0.0
84452d9ffffffff,105.0,0.0,0.0
84452dbffffffff,19.0,0.0,0.0
84452e1ffffffff,3005.0,20.0,0.0
84452e3ffffffff,428.0,41.0,0.0
84452e5ffffffff,1137.0,34.0,0.0
84452e7ffffffff,87.0,4.0,0.0
84452e9ffffffff,155.0,2.0,0.0
84452ebffffffff,1339.0,256.0,0.0
84452edffffffff,169.0,0.0,0.0
8445303ffffffff,1.0,0.0,0.0
8445305ffffffff,6.0,0.0,0.0
844530dffffffff,8.0,0.0,0.0
8445319ffffffff,42.0,0.0,0.0
844532bffffffff,45.0,3.0,0.0
8445343ffffffff,4.0,0.0,0.0
8445345ffffffff,3.0,0.0,0.0
8445351ffffffff,2.0,0.0,0.0
8445363ffffffff,23.0,0.0,0.0
8445365ffffffff,87.0,0.0,0.0
8445367ffffffff,11.0,0.0,0.0
8466117ffffffff,3.0,0.0,0.0
8466165ffffffff,2.0,0.0,0.0
84661a5ffffffff,2.0,0.0,0.0
84661adffffffff,1.0,0.0,0.0
84661b1ffffffff,7.0,0.0,0.0
84661cdffffffff,7.0,0.0,0.0
84661ebffffffff,3.0,0.0,0.0
8466a01ffffffff,30.0,0.0,0.0
8466a05ffffffff,18.0,0.0,0.0
8466a0bffffffff,486.0,57.0,0.0
8466a2dffffffff,4.0,0.0,0.0
8466a31ffffffff,2.0,0.0,0.0
8466a33ffffffff,36.0,0.0,0.0
8466a57ffffffff,230.0,22.0,0.0
8466a5bffffffff,55.0,0.0,0.0
8466b01ffffffff,75.0,0.0,0.0
8466b09ffffffff,56.0,0.0,0.0
8466b0bffffffff,72.0,0.0,0.0
8466b1dffffffff,8.0,0.0,0.0
8466b41ffffffff,10.0,0.0,0.0
8466b43ffffffff,21.0,0.0,0.0
8466b45ffffffff,3.0,0.0,0.0
8466b47ffffffff,8.0,0.0,0.0
8466b49ffffffff,144.0,0.0,0.0
8466b4bffffffff,2.0,0.0,0.0
8466b4dffffffff,389.0,0.0,0.0
8466b51ffffffff,83.0,0.0,0.0
8466b53ffffffff,2.0,0.0,0.0
8466b55ffffffff,77.0,0.0,0.0
8466b57ffffffff,1.0,0.0,0.0
8466b5bffffffff,14.0,0.0,0.0
8466b5dffffffff,13.0,0.0,0.0
8466d03ffffffff,3.0,0.0,0.0
8466d07ffffffff,30.0,0.0,10.0
8466d0bffffffff,232.0,0.0,0.0
8466d23ffffffff,13.0,0.0,4.0
8466d27ffffffff,8.0,0.0,5.0
8466d31ffffffff,15.0,0.0,6.0
8466d35ffffffff,250.0,0.0,81.0
8466d37ffffffff,4.0,0.0,0.0
8466d3dffffffff,3.0,0.0,3.0
8466d51ffffffff,5.0,0.0,0.0
8466f03ffffffff,116.0,0.0,0.0
8466f0bffffffff,4.0,0.0,0.0
846792dffffffff,3.0,0.0,0.0
8467945ffffffff,2.0,0.0,0.0
8467961ffffffff,88.0,0.0,0.0
84679a5ffffffff,31.0,0.0,0.0
84679a7ffffffff,6.0,0.0,0.0
84679adffffffff,5.0,0.0,0.0
84679b5ffffffff,2.0,0.0,0.0
84679b7ffffffff,2.0,0.0,0.0
846d21bffffffff,54.0,15.0,0.0
846d21dffffffff,1.0,0.0,0.0
846d223ffffffff,4.0,0.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d257ffffffff,2.0,0.0,0.0
846d2c1ffffffff,22.0,8.0,0.0
846d2c3ffffffff,51.0,3.0,0.0
846d2c5ffffffff,2.0,2.0,0.0
846d2c9ffffffff,457.0,76.0,0.0
846d2cbffffffff,41.0,12.0,0.0
846d2d1ffffffff,28.0,17.0,0.0
846d2d7ffffffff,6.0,6.0,0.0
846d2dbffffffff,4.0,2.0,0.0
