cell_id,Eucometis penicillata,Eucometis penicillata [spodocephalus Group],Eucometis penicillata [penicillata Group]
8444249ffffffff,5.0,0.0,0.0
8445013ffffffff,1.0,0.0,0.0
844501bffffffff,3.0,0.0,0.0
8445053ffffffff,5.0,0.0,0.0
844505bffffffff,17.0,0.0,0.0
8445083ffffffff,43.0,0.0,0.0
8445085ffffffff,110.0,0.0,0.0
8445087ffffffff,389.0,0.0,0.0
844508dffffffff,16.0,0.0,0.0
844509bffffffff,3.0,0.0,0.0
84450a1ffffffff,109.0,0.0,0.0
84450a3ffffffff,122.0,0.0,0.0
84450a5ffffffff,17.0,0.0,0.0
84450a7ffffffff,2.0,0.0,0.0
84450a9ffffffff,3.0,0.0,0.0
84450abffffffff,39.0,0.0,0.0
84450adffffffff,2.0,0.0,0.0
84450b1ffffffff,1.0,0.0,0.0
84450b5ffffffff,28.0,0.0,0.0
84450b9ffffffff,2.0,0.0,0.0
84450bdffffffff,22.0,0.0,0.0
84450c1ffffffff,29.0,0.0,0.0
84450c3ffffffff,2.0,0.0,0.0
84450c5ffffffff,53.0,0.0,0.0
84450cdffffffff,9.0,0.0,0.0
84450d1ffffffff,8.0,0.0,0.0
84450d3ffffffff,26.0,0.0,0.0
84450d5ffffffff,25.0,0.0,0.0
84450ddffffffff,11.0,0.0,0.0
84450e1ffffffff,11.0,0.0,0.0
84450e3ffffffff,269.0,0.0,0.0
84450ebffffffff,39.0,0.0,0.0
84450edffffffff,2.0,0.0,0.0
8445215ffffffff,124.0,0.0,0.0
8445217ffffffff,64.0,0.0,0.0
844521bffffffff,1.0,0.0,0.0
8445233ffffffff,444.0,0.0,0.0
844523bffffffff,25.0,0.0,0.0
8445281ffffffff,17.0,0.0,0.0
8445283ffffffff,38.0,0.0,0.0
8445285ffffffff,23.0,0.0,0.0
8445287ffffffff,71.0,0.0,0.0
8445289ffffffff,312.0,0.0,0.0
844528bffffffff,2.0,0.0,0.0
844528dffffffff,70.0,0.0,0.0
8445291ffffffff,4.0,0.0,0.0
8445297ffffffff,2.0,0.0,0.0
844529bffffffff,2.0,0.0,0.0
84452a1ffffffff,24.0,0.0,0.0
84452a3ffffffff,7.0,0.0,0.0
84452a5ffffffff,10.0,0.0,0.0
84452a7ffffffff,3.0,0.0,0.0
84452a9ffffffff,292.0,0.0,0.0
84452abffffffff,40.0,0.0,0.0
84452adffffffff,295.0,0.0,0.0
84452b5ffffffff,15.0,0.0,0.0
84452b9ffffffff,37.0,0.0,0.0
84452bdffffffff,60.0,0.0,0.0
84452c1ffffffff,16.0,0.0,0.0
84452c3ffffffff,267.0,30.0,0.0
84452c5ffffffff,53.0,7.0,0.0
84452c7ffffffff,195.0,12.0,0.0
84452c9ffffffff,24.0,12.0,0.0
84452cdffffffff,2.0,0.0,0.0
84452d5ffffffff,4.0,0.0,0.0
84452d9ffffffff,46.0,14.0,0.0
84452dbffffffff,3.0,0.0,0.0
84452e1ffffffff,882.0,0.0,0.0
84452e3ffffffff,124.0,0.0,0.0
84452e5ffffffff,419.0,0.0,0.0
84452e7ffffffff,18.0,0.0,0.0
84452e9ffffffff,32.0,0.0,0.0
84452ebffffffff,577.0,71.0,0.0
84452edffffffff,29.0,0.0,0.0
844530dffffffff,2.0,0.0,0.0
844532bffffffff,2.0,0.0,0.0
8445345ffffffff,4.0,0.0,0.0
8445363ffffffff,4.0,0.0,0.0
8445365ffffffff,15.0,0.0,0.0
8445367ffffffff,3.0,0.0,0.0
8445649ffffffff,2.0,0.0,0.0
8445721ffffffff,2.0,0.0,0.0
8445725ffffffff,2.0,0.0,0.0
8445765ffffffff,2.0,0.0,0.0
8445767ffffffff,2.0,0.0,0.0
846600dffffffff,2.0,0.0,0.0
846601bffffffff,6.0,0.0,0.0
8466045ffffffff,16.0,0.0,0.0
846606bffffffff,13.0,0.0,0.0
8466081ffffffff,2.0,0.0,0.0
8466083ffffffff,1.0,0.0,0.0
8466087ffffffff,6.0,0.0,0.0
8466089ffffffff,46.0,0.0,0.0
846608dffffffff,494.0,2.0,0.0
84660a1ffffffff,2.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0
84660a7ffffffff,104.0,2.0,0.0
84660a9ffffffff,5.0,0.0,0.0
84660c1ffffffff,10.0,0.0,0.0
84660c7ffffffff,25.0,0.0,0.0
84660e7ffffffff,11.0,0.0,0.0
8466105ffffffff,8.0,0.0,0.0
8466107ffffffff,101.0,7.0,0.0
8466123ffffffff,1.0,0.0,0.0
8466129ffffffff,42.0,5.0,0.0
8466131ffffffff,2.0,0.0,0.0
8466139ffffffff,198.0,4.0,0.0
846613dffffffff,13.0,0.0,0.0
8466163ffffffff,310.0,23.0,0.0
8466165ffffffff,10.0,0.0,0.0
8466167ffffffff,41.0,0.0,0.0
8466183ffffffff,4.0,0.0,0.0
8466191ffffffff,24.0,0.0,0.0
8466193ffffffff,636.0,5.0,0.0
8466197ffffffff,22.0,0.0,0.0
8466199ffffffff,12.0,0.0,0.0
846619bffffffff,321.0,6.0,0.0
84661a5ffffffff,3.0,0.0,0.0
84661b3ffffffff,1.0,0.0,0.0
84661bbffffffff,9.0,0.0,0.0
84661d1ffffffff,2.0,0.0,0.0
84661d3ffffffff,9.0,0.0,0.0
84661ebffffffff,5.0,0.0,0.0
8466201ffffffff,15.0,0.0,0.0
8466203ffffffff,23.0,0.0,0.0
8466205ffffffff,233.0,10.0,0.0
8466207ffffffff,20.0,0.0,0.0
8466211ffffffff,2.0,0.0,0.0
8466213ffffffff,15.0,0.0,0.0
8466217ffffffff,24.0,0.0,0.0
8466219ffffffff,10.0,0.0,0.0
8466225ffffffff,5.0,0.0,0.0
