cell_id,Pyrocephalus rubinus,Pyrocephalus rubinus [mexicanus Group],Pyrocephalus rubinus saturatus,Pyrocephalus rubinus [obscurus Group],Pyrocephalus rubinus rubinus
84260a3ffffffff,8.0,2.0,0.0,0.0,0.0
8426245ffffffff,5.0,0.0,0.0,0.0,0.0
8426439ffffffff,1.0,0.0,0.0,0.0,0.0
8426449ffffffff,2.0,0.0,0.0,0.0,0.0
8426493ffffffff,1.0,0.0,0.0,0.0,0.0
84264a1ffffffff,1.0,0.0,0.0,0.0,0.0
84264e5ffffffff,1.0,0.0,0.0,0.0,0.0
8426537ffffffff,3.0,0.0,0.0,0.0,0.0
8426561ffffffff,13.0,0.0,0.0,0.0,0.0
8426595ffffffff,4.0,0.0,0.0,0.0,0.0
8426597ffffffff,10.0,0.0,0.0,0.0,0.0
842659dffffffff,4.0,0.0,0.0,0.0,0.0
84265b3ffffffff,12.0,0.0,0.0,0.0,0.0
84265dbffffffff,34.0,0.0,0.0,0.0,0.0
8426617ffffffff,6.0,0.0,0.0,0.0,0.0
8426689ffffffff,18.0,0.0,0.0,0.0,0.0
84266a1ffffffff,1.0,0.0,0.0,0.0,0.0
84266e1ffffffff,1.0,0.0,0.0,0.0,0.0
842681bffffffff,83.0,0.0,0.0,0.0,0.0
8426853ffffffff,1.0,0.0,0.0,0.0,0.0
8426881ffffffff,2.0,0.0,0.0,0.0,0.0
8426889ffffffff,43.0,0.0,0.0,0.0,0.0
8426891ffffffff,45.0,0.0,0.0,0.0,0.0
8426899ffffffff,2.0,0.0,0.0,0.0,0.0
84268b3ffffffff,2.0,0.0,0.0,0.0,0.0
84268c7ffffffff,72.0,0.0,0.0,0.0,0.0
84268cdffffffff,48.0,0.0,0.0,0.0,0.0
84268d1ffffffff,2.0,0.0,0.0,0.0,0.0
84268d5ffffffff,2.0,0.0,0.0,0.0,0.0
8426905ffffffff,12.0,0.0,0.0,0.0,0.0
8426961ffffffff,5.0,0.0,0.0,0.0,0.0
8426963ffffffff,17.0,0.0,0.0,0.0,0.0
8426969ffffffff,13.0,0.0,0.0,0.0,0.0
8426989ffffffff,3.0,0.0,0.0,0.0,0.0
8426995ffffffff,4.0,0.0,0.0,0.0,0.0
84269abffffffff,5.0,0.0,0.0,0.0,0.0
84269cdffffffff,1.0,0.0,0.0,0.0,0.0
84269e1ffffffff,2.0,0.0,0.0,0.0,0.0
8426aa5ffffffff,7.0,0.0,0.0,0.0,0.0
8426aa9ffffffff,1.0,0.0,0.0,0.0,0.0
8426ab7ffffffff,1.0,0.0,0.0,0.0,0.0
8426c81ffffffff,4.0,0.0,0.0,0.0,0.0
8426c87ffffffff,2.0,0.0,0.0,0.0,0.0
8426ca1ffffffff,1.0,0.0,0.0,0.0,0.0
8426ca5ffffffff,1.0,0.0,0.0,0.0,0.0
8426ca7ffffffff,2.0,0.0,0.0,0.0,0.0
8426cb9ffffffff,144.0,0.0,0.0,0.0,0.0
8426cbdffffffff,63.0,0.0,0.0,0.0,0.0
8426ccdffffffff,4.0,0.0,0.0,0.0,0.0
8426d03ffffffff,1.0,0.0,0.0,0.0,0.0
8426d15ffffffff,17.0,0.0,0.0,0.0,0.0
8426d35ffffffff,6.0,0.0,0.0,0.0,0.0
8426d37ffffffff,2.0,0.0,0.0,0.0,0.0
8426d3bffffffff,2.0,0.0,0.0,0.0,0.0
8426d45ffffffff,44.0,0.0,0.0,0.0,0.0
8426d4dffffffff,4.0,0.0,0.0,0.0,0.0
8426d85ffffffff,2.0,0.0,0.0,0.0,0.0
8426d97ffffffff,1.0,0.0,0.0,0.0,0.0
8426d99ffffffff,6.0,0.0,0.0,0.0,0.0
8426d9bffffffff,2.0,0.0,0.0,0.0,0.0
8426da3ffffffff,3.0,0.0,0.0,0.0,0.0
8426da9ffffffff,2.0,0.0,0.0,0.0,0.0
