cell_id,Lyncornis macrotis,Lyncornis macrotis cerviniceps/bourdilloni,Lyncornis macrotis jacobsoni,Lyncornis macrotis macrotis,Lyncornis macrotis macropterus
833c5afffffffff,7.0,0.0,0.0,0.0,0.0
833cccfffffffff,4.0,0.0,0.0,0.0,0.0
833cd8fffffffff,2.0,0.0,0.0,0.0,0.0
833cebfffffffff,1.0,0.0,0.0,0.0,0.0
83404dfffffffff,2.0,0.0,0.0,0.0,0.0
836022fffffffff,12.0,0.0,0.0,0.0,0.0
836026fffffffff,140.0,0.0,0.0,0.0,0.0
836031fffffffff,514.0,0.0,0.0,0.0,0.0
836035fffffffff,12.0,0.0,0.0,0.0,0.0
836414fffffffff,1.0,0.0,0.0,0.0,0.0
836416fffffffff,63.0,0.0,0.0,0.0,0.0
836422fffffffff,2.0,0.0,0.0,0.0,0.0
836426fffffffff,5.0,0.0,0.0,0.0,0.0
836431fffffffff,13.0,1.0,0.0,0.0,0.0
836435fffffffff,6.0,0.0,0.0,0.0,0.0
836482fffffffff,4.0,0.0,0.0,0.0,0.0
836486fffffffff,3.0,0.0,0.0,0.0,0.0
836491fffffffff,7.0,0.0,0.0,0.0,0.0
8364a0fffffffff,4.0,0.0,0.0,0.0,0.0
8364a1fffffffff,1.0,0.0,0.0,0.0,0.0
8364a3fffffffff,5.0,0.0,0.0,0.0,0.0
8364b1fffffffff,1.0,0.0,0.0,0.0,0.0
8364b5fffffffff,6.0,0.0,0.0,0.0,0.0
836518fffffffff,2.0,0.0,0.0,0.0,0.0
83651bfffffffff,17.0,0.0,0.0,0.0,0.0
83651dfffffffff,21.0,0.0,0.0,0.0,0.0
836573fffffffff,13.0,0.0,0.0,0.0,0.0
836580fffffffff,9.0,0.0,0.0,0.0,0.0
836581fffffffff,8.0,0.0,0.0,0.0,0.0
836582fffffffff,1.0,0.0,0.0,0.0,0.0
836585fffffffff,22.0,0.0,0.0,0.0,0.0
836589fffffffff,3.0,0.0,0.0,0.0,0.0
83658afffffffff,4.0,0.0,0.0,0.0,0.0
83658efffffffff,3.0,0.0,0.0,0.0,0.0
836591fffffffff,61.0,0.0,0.0,0.0,0.0
836595fffffffff,9.0,0.0,0.0,0.0,0.0
836596fffffffff,10.0,0.0,0.0,0.0,0.0
836598fffffffff,3.0,0.0,0.0,0.0,0.0
836599fffffffff,383.0,4.0,0.0,0.0,0.0
83659cfffffffff,6.0,0.0,0.0,0.0,0.0
83659dfffffffff,1.0,0.0,0.0,0.0,0.0
8365b0fffffffff,346.0,1.0,0.0,0.0,0.0
8365b1fffffffff,1.0,0.0,0.0,0.0,0.0
8365b3fffffffff,29.0,0.0,0.0,0.0,0.0
836842fffffffff,9.0,0.0,0.0,0.0,0.0
836843fffffffff,142.0,0.0,0.0,0.0,0.0
836844fffffffff,28.0,0.0,0.0,0.0,0.0
83684efffffffff,137.0,0.0,0.0,0.0,0.0
836856fffffffff,2.0,0.0,0.0,0.0,0.0
836858fffffffff,2.0,0.0,0.0,0.0,0.0
83685cfffffffff,1.0,0.0,0.0,0.0,0.0
83685dfffffffff,51.0,0.0,0.0,0.0,0.0
83685efffffffff,9.0,0.0,0.0,0.0,0.0
83686efffffffff,8.0,0.0,0.0,0.0,0.0
8368c2fffffffff,2.0,0.0,0.0,0.0,0.0
8368c8fffffffff,83.0,0.0,0.0,0.0,4.0
8368cafffffffff,25.0,0.0,0.0,0.0,0.0
8368cefffffffff,71.0,0.0,0.0,0.0,0.0
8368d2fffffffff,77.0,0.0,0.0,0.0,0.0
8368d8fffffffff,13.0,0.0,0.0,0.0,0.0
8368ddfffffffff,4.0,0.0,0.0,0.0,0.0
836934fffffffff,3.0,0.0,0.0,0.0,0.0
836943fffffffff,186.0,0.0,0.0,0.0,0.0
836945fffffffff,5.0,0.0,0.0,0.0,0.0
83694afffffffff,4.0,0.0,0.0,0.0,0.0
83694efffffffff,23.0,0.0,0.0,0.0,0.0
836958fffffffff,20.0,0.0,0.0,0.0,0.0
836959fffffffff,1.0,0.0,0.0,0.0,0.0
83695dfffffffff,1.0,0.0,0.0,0.0,0.0
836968fffffffff,3.0,0.0,0.0,0.0,0.0
83696afffffffff,14.0,0.0,0.0,0.0,0.0
83696bfffffffff,1.0,0.0,0.0,0.0,0.0
83696cfffffffff,2.0,0.0,0.0,0.0,0.0
83696dfffffffff,4.0,0.0,0.0,0.0,0.0
839500fffffffff,4.0,0.0,0.0,0.0,0.0
839521fffffffff,2.0,0.0,0.0,0.0,0.0
83952dfffffffff,4.0,0.0,0.0,0.0,0.0
839560fffffffff,4.0,0.0,0.0,0.0,0.0
839566fffffffff,4.0,0.0,0.0,0.0,1.0
839572fffffffff,6.0,0.0,0.0,0.0,0.0
